"leading_edge_index","leading_edge_val","count","crossed_frac"
312,13,583,0.0583
312,14,1613,0.1613
312,15,3510,0.351
312,16,5479,0.5479
312,17,5982,0.5982
320,12,230,0.023
320,13,541,0.0541
320,14,1528,0.1528
320,15,3486,0.3486
320,16,5472,0.5472
320,17,5851,0.5851
328,12,185,0.0185
328,13,492,0.0492
328,14,1486,0.1486
328,15,3326,0.3326
328,16,5471,0.5471
328,17,5921,0.5921
336,12,170,0.017
336,13,457,0.0457
336,14,1413,0.1413
336,15,3300,0.33
336,16,5436,0.5436
336,17,5966,0.5966
344,12,169,0.0169
344,13,432,0.0432
344,14,1298,0.1298
344,15,3225,0.3225
344,16,5362,0.5362
344,17,5815,0.5815
352,12,110,0.011
352,13,406,0.0406
352,14,1294,0.1294
352,15,3107,0.3107
352,16,5384,0.5384
352,17,5818,0.5818
360,12,114,0.0114
360,13,333,0.0333
360,14,1155,0.1155
360,15,3036,0.3036
360,16,5277,0.5277
360,17,5850,0.585
368,12,104,0.0104
368,13,314,0.0314
368,14,1051,0.1051
368,15,2938,0.2938
368,16,5343,0.5343
368,17,5842,0.5842
376,12,91,0.0091
376,13,278,0.0278
376,14,980,0.098
376,15,2764,0.2764
376,16,5253,0.5253
376,17,5858,0.5858
384,12,72,0.0072
384,13,223,0.0223
384,14,919,0.0919
384,15,2685,0.2685
384,16,5141,0.5141
384,17,5916,0.5916
392,12,57,0.0057
392,13,207,0.0207
392,14,807,0.0807
392,15,2603,0.2603
392,16,5168,0.5168
392,17,5869,0.5869
400,12,55,0.0055
400,13,164,0.0164
400,14,731,0.0731
400,15,2401,0.2401
400,16,5060,0.506
400,17,5785,0.5785
408,12,49,0.0049
408,13,127,0.0127
408,14,702,0.0702
408,15,2265,0.2265
408,16,4911,0.4911
408,17,5883,0.5883
416,12,32,0.0032
416,13,137,0.0137
416,14,563,0.0563
416,15,2235,0.2235
416,16,4798,0.4798
416,17,5727,0.5727
424,12,21,0.0021
424,13,108,0.0108
424,14,479,0.0479
424,15,2021,0.2021
424,16,4677,0.4677
424,17,5718,0.5718
432,12,11,0.0011
432,13,92,0.0092
432,14,453,0.0453
432,15,1778,0.1778
432,16,4636,0.4636
432,17,5711,0.5711
440,12,19,0.0019
440,13,52,0.0052
440,14,356,0.0356
440,15,1680,0.168
440,16,4439,0.4439
440,17,5840,0.584
448,12,10,0.001
448,13,51,0.0051
448,14,309,0.0309
448,15,1442,0.1442
448,16,4197,0.4197
448,17,5716,0.5716
456,12,7,7e-04
456,13,43,0.0043
456,14,217,0.0217
456,15,1250,0.125
456,16,3940,0.394
456,17,5660,0.566
464,12,11,0.0011
464,13,25,0.0025
464,14,180,0.018
464,15,974,0.0974
464,16,3635,0.3635
464,17,5635,0.5635
472,12,3,3e-04
472,13,13,0.0013
472,14,118,0.0118
472,15,736,0.0736
472,16,3083,0.3083
472,17,5591,0.5591
480,12,3,3e-04
480,13,10,0.001
480,14,64,0.0064
480,15,544,0.0544
480,16,2442,0.2442
480,17,5421,0.5421
488,12,7,7e-04
488,13,9,9e-04
488,14,47,0.0047
488,15,320,0.032
488,16,1822,0.1822
488,17,5283,0.5283
496,12,4,4e-04
496,13,8,8e-04
496,14,20,0.002
496,15,106,0.0106
496,16,960,0.096
496,17,4357,0.4357
504,12,3,3e-04
504,13,2,2e-04
504,14,11,0.0011
504,15,25,0.0025
504,16,286,0.0286
504,17,2375,0.2375
