update,leading_edge_index,leading_edge_value,count_under,second_leading_edge_left_index,second_leading_edge_left_val,second_leading_edge_right_index,second_leading_edge_right_val,count_6,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19,count_20,count_21,count_22,count_23,count_24,count_over
1,511,12,0,None,None,None,None,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0
2,511,12,0,None,None,None,None,0,0,0,0,0,3,505,4,0,0,0,0,0,0,0,0,0,0,0,0
3,511,12,0,None,None,None,None,0,0,0,0,0,7,502,3,0,0,0,0,0,0,0,0,0,0,0,0
4,511,12,0,None,None,None,None,0,0,0,0,0,2,506,4,0,0,0,0,0,0,0,0,0,0,0,0
5,511,12,0,None,None,None,None,0,0,0,0,0,5,500,7,0,0,0,0,0,0,0,0,0,0,0,0
6,511,12,0,None,None,None,None,0,0,0,0,0,6,499,7,0,0,0,0,0,0,0,0,0,0,0,0
7,511,12,0,None,None,None,None,0,0,0,0,0,4,499,9,0,0,0,0,0,0,0,0,0,0,0,0
8,511,12,0,None,None,None,None,0,0,0,0,0,5,498,8,1,0,0,0,0,0,0,0,0,0,0,0
9,511,12,0,None,None,None,None,0,0,0,0,0,2,500,10,0,0,0,0,0,0,0,0,0,0,0,0
10,511,12,0,None,None,None,None,0,0,0,0,0,2,502,8,0,0,0,0,0,0,0,0,0,0,0,0
11,511,12,0,None,None,None,None,0,0,0,0,0,3,492,17,0,0,0,0,0,0,0,0,0,0,0,0
12,511,12,0,None,None,None,None,0,0,0,0,0,2,489,21,0,0,0,0,0,0,0,0,0,0,0,0
13,511,12,0,None,None,None,None,0,0,0,0,0,6,478,28,0,0,0,0,0,0,0,0,0,0,0,0
14,511,12,0,None,None,None,None,0,0,0,0,0,3,480,29,0,0,0,0,0,0,0,0,0,0,0,0
15,511,12,0,None,None,None,None,0,0,0,0,0,6,473,33,0,0,0,0,0,0,0,0,0,0,0,0
16,511,12,0,None,None,None,None,0,0,0,0,0,4,471,37,0,0,0,0,0,0,0,0,0,0,0,0
17,511,12,0,None,None,None,None,0,0,0,0,0,5,469,37,1,0,0,0,0,0,0,0,0,0,0,0
18,511,12,0,None,None,None,None,0,0,0,0,0,7,466,38,1,0,0,0,0,0,0,0,0,0,0,0
19,511,12,0,None,None,None,None,0,0,0,0,0,4,474,31,3,0,0,0,0,0,0,0,0,0,0,0
20,511,12,0,None,None,None,None,0,0,0,0,0,2,476,30,4,0,0,0,0,0,0,0,0,0,0,0
21,511,12,0,None,None,None,None,0,0,0,0,0,2,478,28,4,0,0,0,0,0,0,0,0,0,0,0
22,511,12,0,None,None,None,None,0,0,0,0,0,6,473,28,5,0,0,0,0,0,0,0,0,0,0,0
23,511,12,0,None,None,None,None,0,0,0,0,0,3,476,26,7,0,0,0,0,0,0,0,0,0,0,0
24,511,12,0,None,None,None,None,0,0,0,0,0,2,475,27,8,0,0,0,0,0,0,0,0,0,0,0
25,511,12,0,None,None,None,None,0,0,0,0,0,4,480,24,4,0,0,0,0,0,0,0,0,0,0,0
26,511,12,0,None,None,None,None,0,0,0,0,0,2,482,26,2,0,0,0,0,0,0,0,0,0,0,0
27,511,12,0,None,None,None,None,0,0,0,0,0,2,478,29,3,0,0,0,0,0,0,0,0,0,0,0
28,511,12,0,None,None,None,None,0,0,0,0,0,3,472,34,3,0,0,0,0,0,0,0,0,0,0,0
29,511,12,0,None,None,None,None,0,0,0,0,0,4,470,36,2,0,0,0,0,0,0,0,0,0,0,0
30,511,12,0,None,None,None,None,0,0,0,0,0,0,478,33,1,0,0,0,0,0,0,0,0,0,0,0
31,511,12,0,None,None,None,None,0,0,0,0,0,1,477,34,0,0,0,0,0,0,0,0,0,0,0,0
32,511,12,0,None,None,None,None,0,0,0,0,0,4,472,35,1,0,0,0,0,0,0,0,0,0,0,0
33,511,12,0,None,None,None,None,0,0,0,0,0,2,475,32,3,0,0,0,0,0,0,0,0,0,0,0
34,511,12,0,None,None,None,None,0,0,0,0,0,0,475,32,5,0,0,0,0,0,0,0,0,0,0,0
35,511,12,0,None,None,None,None,0,0,0,0,0,2,472,34,4,0,0,0,0,0,0,0,0,0,0,0
36,511,12,0,None,None,None,None,0,0,0,0,0,4,462,39,7,0,0,0,0,0,0,0,0,0,0,0
37,511,12,0,None,None,None,None,0,0,0,0,0,2,470,36,4,0,0,0,0,0,0,0,0,0,0,0
38,511,12,0,None,None,None,None,0,0,0,0,0,2,473,35,2,0,0,0,0,0,0,0,0,0,0,0
39,511,12,0,None,None,None,None,0,0,0,0,0,3,477,31,1,0,0,0,0,0,0,0,0,0,0,0
40,511,12,0,None,None,None,None,0,0,0,0,0,10,469,33,0,0,0,0,0,0,0,0,0,0,0,0
41,511,12,0,None,None,None,None,0,0,0,0,0,2,470,39,1,0,0,0,0,0,0,0,0,0,0,0
42,511,12,0,None,None,None,None,0,0,0,0,0,1,466,45,0,0,0,0,0,0,0,0,0,0,0,0
43,511,12,0,None,None,None,None,0,0,0,0,0,5,462,45,0,0,0,0,0,0,0,0,0,0,0,0
44,511,12,0,None,None,None,None,0,0,0,0,0,3,466,43,0,0,0,0,0,0,0,0,0,0,0,0
45,511,12,0,None,None,None,None,0,0,0,0,0,2,467,43,0,0,0,0,0,0,0,0,0,0,0,0
46,511,12,0,None,None,None,None,0,0,0,0,0,5,462,45,0,0,0,0,0,0,0,0,0,0,0,0
47,511,12,0,None,None,None,None,0,0,0,0,0,2,460,50,0,0,0,0,0,0,0,0,0,0,0,0
48,511,12,0,None,None,None,None,0,0,0,0,0,2,465,44,1,0,0,0,0,0,0,0,0,0,0,0
49,511,12,0,None,None,None,None,0,0,0,0,0,4,460,47,1,0,0,0,0,0,0,0,0,0,0,0
50,511,12,0,None,None,None,None,0,0,0,0,0,2,459,50,1,0,0,0,0,0,0,0,0,0,0,0
51,511,12,0,None,None,None,None,0,0,0,0,0,5,460,46,1,0,0,0,0,0,0,0,0,0,0,0
52,511,12,0,None,None,None,None,0,0,0,0,0,5,469,37,1,0,0,0,0,0,0,0,0,0,0,0
53,511,11,0,None,None,None,None,0,0,0,0,0,2,472,37,1,0,0,0,0,0,0,0,0,0,0,0
54,511,12,0,None,None,None,None,0,0,0,0,0,1,471,37,3,0,0,0,0,0,0,0,0,0,0,0
55,511,12,0,None,None,None,None,0,0,0,0,0,4,460,46,2,0,0,0,0,0,0,0,0,0,0,0
56,511,12,0,None,None,None,None,0,0,0,0,0,1,461,50,0,0,0,0,0,0,0,0,0,0,0,0
57,511,12,0,None,None,None,None,0,0,0,0,0,4,457,50,1,0,0,0,0,0,0,0,0,0,0,0
58,511,12,0,None,None,None,None,0,0,0,0,0,1,461,49,1,0,0,0,0,0,0,0,0,0,0,0
59,511,12,0,None,None,None,None,0,0,0,0,0,0,463,48,1,0,0,0,0,0,0,0,0,0,0,0
60,511,12,0,None,None,None,None,0,0,0,0,0,4,466,41,1,0,0,0,0,0,0,0,0,0,0,0
61,511,12,0,None,None,None,None,0,0,0,0,0,5,460,47,0,0,0,0,0,0,0,0,0,0,0,0
62,511,12,0,None,None,None,None,0,0,0,0,0,5,455,52,0,0,0,0,0,0,0,0,0,0,0,0
63,511,12,0,None,None,None,None,0,0,0,0,0,3,465,42,2,0,0,0,0,0,0,0,0,0,0,0
64,511,12,0,None,None,None,None,0,0,0,0,0,5,455,50,2,0,0,0,0,0,0,0,0,0,0,0
65,511,12,0,None,None,None,None,0,0,0,0,0,7,462,41,2,0,0,0,0,0,0,0,0,0,0,0
66,511,12,0,None,None,None,None,0,0,0,0,0,5,466,35,6,0,0,0,0,0,0,0,0,0,0,0
67,511,12,0,None,None,None,None,0,0,0,0,0,2,473,32,5,0,0,0,0,0,0,0,0,0,0,0
68,511,12,0,None,None,None,None,0,0,0,0,0,1,476,30,5,0,0,0,0,0,0,0,0,0,0,0
69,511,12,0,None,None,None,None,0,0,0,0,0,3,471,31,7,0,0,0,0,0,0,0,0,0,0,0
70,511,12,0,None,None,None,None,0,0,0,0,1,4,467,31,9,0,0,0,0,0,0,0,0,0,0,0
71,511,12,0,None,None,None,None,0,0,0,0,0,3,476,27,6,0,0,0,0,0,0,0,0,0,0,0
72,511,12,0,None,None,None,None,0,0,0,0,0,1,478,26,7,0,0,0,0,0,0,0,0,0,0,0
