"slurm_task_id","replay_gen","count","frac_crossed"
692,692,17,0.0017
693,693,15,0.0015
694,694,24,0.0024
695,695,13,0.0013
696,696,20,0.002
697,697,25,0.0025
698,698,17,0.0017
699,699,17,0.0017
700,700,11,0.0011
701,701,11,0.0011
702,702,3,3e-04
703,703,15,0.0015
704,704,6,6e-04
705,705,21,0.0021
706,706,17,0.0017
707,707,9,9e-04
708,708,9,9e-04
709,709,11,0.0011
710,710,11,0.0011
711,711,7,7e-04
712,712,10,0.001
713,713,3,3e-04
714,714,13,0.0013
715,715,4,4e-04
716,716,5,5e-04
717,717,4,4e-04
718,718,6,6e-04
719,719,5,5e-04
720,720,2,2e-04
721,721,5,5e-04
722,722,3,3e-04
723,723,5,5e-04
724,724,2,2e-04
725,725,4,4e-04
726,726,5,5e-04
727,727,4,4e-04
728,728,6,6e-04
729,729,2,2e-04
730,730,7,7e-04
731,731,2,2e-04
734,734,5,5e-04
735,735,5,5e-04
736,736,3,3e-04
737,737,4,4e-04
738,738,4,4e-04
740,740,2,2e-04
741,741,2,2e-04
745,745,1,1e-04
749,749,1,1e-04
750,750,1,1e-04
