update,leading_edge_index,leading_edge_value,count_under,count_6,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19,count_20,count_21,count_22,count_23,count_24,count_over
1,7,12,0,504,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,12,2,501,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,12,3,500,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8,12,3,495,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
5,9,12,6,494,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,12,1,498,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11,12,5,490,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
8,12,12,7,482,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
9,13,12,4,477,17,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
10,14,12,1,476,20,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
11,14,12,6,471,20,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
12,15,12,3,475,18,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
13,16,12,2,474,18,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
14,17,12,1,475,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
15,18,12,5,473,15,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
16,19,12,1,476,15,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
17,20,12,3,464,24,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
18,21,12,4,460,26,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0
19,22,12,6,457,25,1,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0
20,23,11,7,453,26,2,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0
21,24,11,4,451,28,3,1,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0
22,24,12,1,454,27,4,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
23,25,12,2,448,30,5,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
24,26,12,1,452,27,3,2,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,12,1,452,26,3,3,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0
26,27,12,3,452,24,2,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
27,28,12,2,454,22,1,3,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
28,29,12,7,450,22,0,2,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
29,28,12,8,448,24,0,2,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
30,29,12,8,450,21,0,2,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
31,30,12,5,449,24,0,2,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
32,31,12,3,450,25,0,1,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
33,31,12,1,447,30,0,1,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
34,32,12,6,447,25,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
35,33,12,0,442,34,0,2,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
36,34,12,1,440,36,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0
37,34,13,4,435,38,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0
38,35,13,3,435,39,0,0,0,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0
39,36,13,4,435,36,0,0,0,1,32,4,0,0,0,0,0,0,0,0,0,0,0,0
40,37,13,2,435,37,0,0,0,0,32,6,0,0,0,0,0,0,0,0,0,0,0,0
41,38,13,3,430,40,0,0,0,0,34,5,0,0,0,0,0,0,0,0,0,0,0,0
42,39,13,6,420,46,0,0,0,0,35,5,0,0,0,0,0,0,0,0,0,0,0,0
43,40,13,5,421,45,0,0,0,1,34,6,0,0,0,0,0,0,0,0,0,0,0,0
44,41,13,6,417,46,1,0,0,0,35,7,0,0,0,0,0,0,0,0,0,0,0,0
45,42,13,5,416,48,0,0,0,0,34,9,0,0,0,0,0,0,0,0,0,0,0,0
