"leading_edge_index","leading_edge_val","count","crossed_frac"
0,12,1783,0.1783
0,13,2430,0.243
0,14,4002,0.4002
0,15,6523,0.6523
0,16,8854,0.8854
0,17,9439,0.9439
8,12,1673,0.1673
8,13,2566,0.2566
8,14,4101,0.4101
8,15,6800,0.68
8,16,9395,0.9395
8,17,9996,0.9996
16,12,1759,0.1759
16,13,2415,0.2415
16,14,4243,0.4243
16,15,6605,0.6605
16,16,9138,0.9138
16,17,9988,0.9988
24,12,1676,0.1676
24,13,2407,0.2407
24,14,4037,0.4037
24,15,6480,0.648
24,16,9177,0.9177
24,17,9985,0.9985
32,12,1636,0.1636
32,13,2365,0.2365
32,14,3996,0.3996
32,15,6487,0.6487
32,16,9168,0.9168
32,17,9980,0.998
40,12,1611,0.1611
40,13,2306,0.2306
40,14,3952,0.3952
40,15,6595,0.6595
40,16,9185,0.9185
40,17,9978,0.9978
48,12,1561,0.1561
48,13,2219,0.2219
48,14,3937,0.3937
48,15,6437,0.6437
48,16,9215,0.9215
48,17,9984,0.9984
56,12,1408,0.1408
56,13,2140,0.214
56,14,3886,0.3886
56,15,6412,0.6412
56,16,9135,0.9135
56,17,9988,0.9988
64,12,1453,0.1453
64,13,2142,0.2142
64,14,3826,0.3826
64,15,6371,0.6371
64,16,9148,0.9148
64,17,9980,0.998
72,12,1355,0.1355
72,13,2224,0.2224
72,14,3764,0.3764
72,15,6390,0.639
72,16,9098,0.9098
72,17,9987,0.9987
80,12,1334,0.1334
80,13,2098,0.2098
80,14,3734,0.3734
80,15,6358,0.6358
80,16,9104,0.9104
80,17,9991,0.9991
88,12,1297,0.1297
88,13,2068,0.2068
88,14,3783,0.3783
88,15,6312,0.6312
88,16,9070,0.907
88,17,9978,0.9978
96,12,1314,0.1314
96,13,2046,0.2046
96,14,3612,0.3612
96,15,6300,0.63
96,16,9093,0.9093
96,17,9984,0.9984
104,12,1187,0.1187
104,13,1936,0.1936
104,14,3589,0.3589
104,15,6238,0.6238
104,16,9046,0.9046
104,17,9984,0.9984
112,12,1260,0.126
112,13,1912,0.1912
112,14,3626,0.3626
112,15,6231,0.6231
112,16,9089,0.9089
112,17,9980,0.998
120,12,1150,0.115
120,13,1919,0.1919
120,14,3564,0.3564
120,15,6161,0.6161
120,16,9073,0.9073
120,17,9985,0.9985
128,12,1098,0.1098
128,13,1887,0.1887
128,14,3449,0.3449
128,15,6187,0.6187
128,16,9036,0.9036
128,17,9988,0.9988
136,12,1007,0.1007
136,13,1835,0.1835
136,14,3422,0.3422
136,15,6151,0.6151
136,16,9027,0.9027
136,17,9986,0.9986
144,12,970,0.097
144,13,1698,0.1698
144,14,3375,0.3375
144,15,6043,0.6043
144,16,9051,0.9051
144,17,9974,0.9974
152,12,942,0.0942
152,13,1677,0.1677
152,14,3329,0.3329
152,15,6051,0.6051
152,16,9021,0.9021
152,17,9976,0.9976
160,12,944,0.0944
160,13,1699,0.1699
160,14,3243,0.3243
160,15,6087,0.6087
160,16,9038,0.9038
160,17,9982,0.9982
168,12,919,0.0919
168,13,1576,0.1576
168,14,3291,0.3291
168,15,5944,0.5944
168,16,8979,0.8979
168,17,9986,0.9986
176,12,909,0.0909
176,13,1551,0.1551
176,14,3145,0.3145
176,15,5885,0.5885
176,16,9000,0.9
176,17,9979,0.9979
184,12,765,0.0765
184,13,1434,0.1434
184,14,3215,0.3215
184,15,5868,0.5868
184,16,8995,0.8995
184,17,9982,0.9982
192,12,793,0.0793
192,13,1456,0.1456
192,14,3057,0.3057
192,15,5831,0.5831
192,16,8930,0.893
192,17,9975,0.9975
200,12,777,0.0777
200,13,1442,0.1442
200,14,3089,0.3089
200,15,5770,0.577
200,16,8982,0.8982
200,17,9974,0.9974
208,12,633,0.0633
208,13,1338,0.1338
208,14,2992,0.2992
208,15,5774,0.5774
208,16,8985,0.8985
208,17,9976,0.9976
216,12,694,0.0694
216,13,1314,0.1314
216,14,2849,0.2849
216,15,5775,0.5775
216,16,8947,0.8947
216,17,9974,0.9974
224,12,567,0.0567
224,13,1231,0.1231
224,14,2814,0.2814
224,15,5750,0.575
224,16,8961,0.8961
224,17,9979,0.9979
232,12,566,0.0566
232,13,1199,0.1199
232,14,2781,0.2781
232,15,5673,0.5673
232,16,8905,0.8905
232,17,9977,0.9977
240,12,535,0.0535
240,13,1156,0.1156
240,14,2751,0.2751
240,15,5632,0.5632
240,16,8858,0.8858
240,17,9979,0.9979
248,12,497,0.0497
248,13,1012,0.1012
248,14,2740,0.274
248,15,5506,0.5506
248,16,8934,0.8934
248,17,9980,0.998
256,12,433,0.0433
256,13,1024,0.1024
256,14,2552,0.2552
256,15,5491,0.5491
256,16,8889,0.8889
256,17,9982,0.9982
264,12,389,0.0389
264,13,1008,0.1008
264,14,2471,0.2471
264,15,5461,0.5461
264,16,8878,0.8878
264,17,9973,0.9973
272,12,380,0.038
272,13,930,0.093
272,14,2406,0.2406
272,15,5154,0.5154
272,16,8847,0.8847
272,17,9968,0.9968
280,12,363,0.0363
280,13,875,0.0875
280,14,2335,0.2335
280,15,5287,0.5287
280,16,8853,0.8853
280,17,9976,0.9976
288,12,322,0.0322
288,13,846,0.0846
288,14,2250,0.225
288,15,5105,0.5105
288,16,8808,0.8808
288,17,9983,0.9983
296,12,316,0.0316
296,13,768,0.0768
296,14,2190,0.219
296,15,5042,0.5042
296,16,8773,0.8773
296,17,9968,0.9968
304,12,258,0.0258
304,13,715,0.0715
304,14,2146,0.2146
304,15,4999,0.4999
304,16,8739,0.8739
304,17,9967,0.9967
312,12,231,0.0231
312,13,733,0.0733
312,14,2035,0.2035
312,15,4988,0.4988
312,16,8704,0.8704
312,17,9978,0.9978
320,12,209,0.0209
320,13,630,0.063
320,14,1896,0.1896
320,15,4944,0.4944
320,16,8604,0.8604
320,17,9972,0.9972
328,12,178,0.0178
328,13,580,0.058
328,14,1919,0.1919
328,15,4822,0.4822
328,16,8669,0.8669
328,17,9970,0.997
336,12,190,0.019
336,13,515,0.0515
336,14,1771,0.1771
336,15,4648,0.4648
336,16,8563,0.8563
336,17,9973,0.9973
344,12,149,0.0149
344,13,477,0.0477
344,14,1707,0.1707
344,15,4649,0.4649
344,16,8611,0.8611
344,17,9968,0.9968
352,12,136,0.0136
352,13,477,0.0477
352,14,1619,0.1619
352,15,4452,0.4452
352,16,8580,0.858
352,17,9964,0.9964
360,12,114,0.0114
360,13,426,0.0426
360,14,1481,0.1481
360,15,4282,0.4282
360,16,8556,0.8556
360,17,9959,0.9959
368,12,91,0.0091
368,13,370,0.037
368,14,1463,0.1463
368,15,4283,0.4283
368,16,8452,0.8452
368,17,9961,0.9961
376,12,100,0.01
376,13,316,0.0316
376,14,1291,0.1291
376,15,4072,0.4072
376,16,8425,0.8425
376,17,9944,0.9944
384,12,68,0.0068
384,13,300,0.03
384,14,1207,0.1207
384,15,3967,0.3967
384,16,8408,0.8408
384,17,9970,0.997
392,12,63,0.0063
392,13,236,0.0236
392,14,1121,0.1121
392,15,3783,0.3783
392,16,8274,0.8274
392,17,9973,0.9973
400,12,38,0.0038
400,13,231,0.0231
400,14,1049,0.1049
400,15,3613,0.3613
400,16,8233,0.8233
400,17,9966,0.9966
408,12,40,0.004
408,13,166,0.0166
408,14,883,0.0883
408,15,3394,0.3394
408,16,8163,0.8163
408,17,9964,0.9964
416,12,27,0.0027
416,13,144,0.0144
416,14,766,0.0766
416,15,3213,0.3213
416,16,8022,0.8022
416,17,9955,0.9955
424,12,31,0.0031
424,13,126,0.0126
424,14,680,0.068
424,15,2888,0.2888
424,16,7973,0.7973
424,17,9955,0.9955
432,12,15,0.0015
432,13,103,0.0103
432,14,555,0.0555
432,15,2761,0.2761
432,16,7701,0.7701
432,17,9956,0.9956
440,12,13,0.0013
440,13,80,0.008
440,14,499,0.0499
440,15,2546,0.2546
440,16,7550,0.755
440,17,9945,0.9945
448,12,15,0.0015
448,13,49,0.0049
448,14,396,0.0396
448,15,2353,0.2353
448,16,7296,0.7296
448,17,9939,0.9939
