"leading_edge_index","leading_edge_val","slurm_array_task_id","count","crossed_frac"
0,12,1,1281,0.1281
0,13,65,2054,0.2054
0,14,129,4226,0.4226
0,15,193,7489,0.7489
0,16,257,9634,0.9634
0,17,321,9786,0.9786
8,12,2,60,0.006
8,13,66,280,0.028
8,14,130,1788,0.1788
8,15,194,7679,0.7679
8,16,258,9998,0.9998
8,17,322,10000,1
16,12,3,28,0.0028
16,13,67,61,0.0061
16,14,131,476,0.0476
16,15,195,3865,0.3865
16,16,259,9745,0.9745
16,17,323,10000,1
24,12,4,8,8e-04
24,13,68,33,0.0033
24,14,132,216,0.0216
24,15,196,2062,0.2062
24,16,260,8566,0.8566
24,17,324,10000,1
32,12,5,19,0.0019
32,13,69,33,0.0033
32,14,133,117,0.0117
32,15,197,1174,0.1174
32,16,261,6859,0.6859
32,17,325,9998,0.9998
40,12,6,18,0.0018
40,13,70,31,0.0031
40,14,134,65,0.0065
40,15,198,692,0.0692
40,16,262,5275,0.5275
40,17,326,9979,0.9979
48,12,7,12,0.0012
48,13,71,22,0.0022
48,14,135,57,0.0057
48,15,199,411,0.0411
48,16,263,4115,0.4115
48,17,327,9892,0.9892
56,12,8,14,0.0014
56,13,72,18,0.0018
56,14,136,38,0.0038
56,15,200,299,0.0299
56,16,264,3183,0.3183
56,17,328,9773,0.9773
64,12,9,8,8e-04
64,13,73,19,0.0019
64,14,137,31,0.0031
64,15,201,234,0.0234
64,16,265,2478,0.2478
64,17,329,9561,0.9561
72,12,10,15,0.0015
72,13,74,12,0.0012
72,14,138,22,0.0022
72,15,202,168,0.0168
72,16,266,1985,0.1985
72,17,330,9304,0.9304
80,12,11,20,0.002
80,13,75,20,0.002
80,14,139,21,0.0021
80,15,203,141,0.0141
80,16,267,1565,0.1565
80,17,331,8983,0.8983
88,12,12,20,0.002
88,13,76,22,0.0022
88,14,140,28,0.0028
88,15,204,99,0.0099
88,16,268,1215,0.1215
88,17,332,8626,0.8626
96,12,13,22,0.0022
96,13,77,19,0.0019
96,14,141,19,0.0019
96,15,205,102,0.0102
96,16,269,1027,0.1027
96,17,333,8147,0.8147
104,12,14,12,0.0012
104,13,78,15,0.0015
104,14,142,15,0.0015
104,15,206,62,0.0062
104,16,270,907,0.0907
104,17,334,7778,0.7778
112,12,15,17,0.0017
112,13,79,11,0.0011
112,14,143,18,0.0018
112,15,207,66,0.0066
112,16,271,761,0.0761
112,17,335,7433,0.7433
120,12,16,11,0.0011
120,13,80,12,0.0012
120,14,144,16,0.0016
120,15,208,54,0.0054
120,16,272,700,0.07
120,17,336,7037,0.7037
128,12,17,15,0.0015
128,13,81,14,0.0014
128,14,145,20,0.002
128,15,209,42,0.0042
128,16,273,601,0.0601
128,17,337,6655,0.6655
136,12,18,10,0.001
136,13,82,14,0.0014
136,14,146,13,0.0013
136,15,210,33,0.0033
136,16,274,465,0.0465
136,17,338,6314,0.6314
144,12,19,11,0.0011
144,13,83,17,0.0017
144,14,147,24,0.0024
144,15,211,33,0.0033
144,16,275,457,0.0457
144,17,339,5890,0.589
152,12,20,16,0.0016
152,13,84,13,0.0013
152,14,148,8,8e-04
152,15,212,26,0.0026
152,16,276,356,0.0356
152,17,340,5582,0.5582
160,12,21,15,0.0015
160,13,85,15,0.0015
160,14,149,14,0.0014
160,15,213,37,0.0037
160,16,277,359,0.0359
160,17,341,5321,0.5321
168,12,22,10,0.001
168,13,86,12,0.0012
168,14,150,18,0.0018
168,15,214,25,0.0025
168,16,278,325,0.0325
168,17,342,5069,0.5069
176,12,23,17,0.0017
176,13,87,9,9e-04
176,14,151,21,0.0021
176,15,215,35,0.0035
176,16,279,274,0.0274
176,17,343,4759,0.4759
184,12,24,12,0.0012
184,13,88,15,0.0015
184,14,152,13,0.0013
184,15,216,29,0.0029
184,16,280,284,0.0284
184,17,344,4540,0.454
192,12,25,10,0.001
192,13,89,15,0.0015
192,14,153,11,0.0011
192,15,217,22,0.0022
192,16,281,205,0.0205
192,17,345,4329,0.4329
200,12,26,17,0.0017
200,13,90,12,0.0012
200,14,154,13,0.0013
200,15,218,20,0.002
200,16,282,214,0.0214
200,17,346,4050,0.405
208,12,27,10,0.001
208,13,91,13,0.0013
208,14,155,16,0.0016
208,15,219,23,0.0023
208,16,283,206,0.0206
208,17,347,3914,0.3914
216,12,28,9,9e-04
216,13,92,9,9e-04
216,14,156,16,0.0016
216,15,220,20,0.002
216,16,284,196,0.0196
216,17,348,3750,0.375
224,12,29,6,6e-04
224,13,93,12,0.0012
224,14,157,9,9e-04
224,15,221,15,0.0015
224,16,285,179,0.0179
224,17,349,3616,0.3616
232,12,30,13,0.0013
232,13,94,8,8e-04
232,14,158,17,0.0017
232,15,222,18,0.0018
232,16,286,160,0.016
232,17,350,3393,0.3393
240,12,31,13,0.0013
240,13,95,5,5e-04
240,14,159,9,9e-04
240,15,223,21,0.0021
240,16,287,131,0.0131
240,17,351,3166,0.3166
248,12,32,6,6e-04
248,13,96,12,0.0012
248,14,160,9,9e-04
248,15,224,21,0.0021
248,16,288,152,0.0152
248,17,352,3096,0.3096
256,12,33,15,0.0015
256,13,97,8,8e-04
256,14,161,14,0.0014
256,15,225,16,0.0016
256,16,289,156,0.0156
256,17,353,2902,0.2902
264,12,34,14,0.0014
264,13,98,13,0.0013
264,14,162,10,0.001
264,15,226,8,8e-04
264,16,290,119,0.0119
264,17,354,2817,0.2817
272,12,35,10,0.001
272,13,99,11,0.0011
272,14,163,6,6e-04
272,15,227,18,0.0018
272,16,291,108,0.0108
272,17,355,2730,0.273
280,12,36,11,0.0011
280,13,100,10,0.001
280,14,164,11,0.0011
280,15,228,25,0.0025
280,16,292,128,0.0128
280,17,356,2589,0.2589
288,12,37,9,9e-04
288,13,101,9,9e-04
288,14,165,12,0.0012
288,15,229,16,0.0016
288,16,293,102,0.0102
288,17,357,2441,0.2441
296,12,38,9,9e-04
296,13,102,6,6e-04
296,14,166,7,7e-04
296,15,230,8,8e-04
296,16,294,107,0.0107
296,17,358,2401,0.2401
304,12,39,11,0.0011
304,13,103,11,0.0011
304,14,167,13,0.0013
304,15,231,15,0.0015
304,16,295,96,0.0096
304,17,359,2278,0.2278
312,12,40,15,0.0015
312,13,104,8,8e-04
312,14,168,8,8e-04
312,15,232,12,0.0012
312,16,296,84,0.0084
312,17,360,2275,0.2275
320,12,41,7,7e-04
320,13,105,9,9e-04
320,14,169,10,0.001
320,15,233,20,0.002
320,16,297,84,0.0084
320,17,361,2239,0.2239
328,12,42,14,0.0014
328,13,106,9,9e-04
328,14,170,14,0.0014
328,15,234,15,0.0015
328,16,298,89,0.0089
328,17,362,2055,0.2055
336,12,43,13,0.0013
336,13,107,10,0.001
336,14,171,7,7e-04
336,15,235,11,0.0011
336,16,299,72,0.0072
336,17,363,2051,0.2051
344,12,44,5,5e-04
344,13,108,7,7e-04
344,14,172,18,0.0018
344,15,236,12,0.0012
344,16,300,71,0.0071
344,17,364,1862,0.1862
352,12,45,7,7e-04
352,13,109,9,9e-04
352,14,173,11,0.0011
352,15,237,11,0.0011
352,16,301,93,0.0093
352,17,365,1904,0.1904
360,12,46,4,4e-04
360,13,110,13,0.0013
