"leading_edge_index","leading_edge_val","count","crossed_frac"
312,14,2135,0.2135
312,15,4954,0.4954
312,16,8600,0.86
312,17,9940,0.994
320,12,198,0.0198
320,13,596,0.0596
320,14,1966,0.1966
320,15,4812,0.4812
320,16,8563,0.8563
320,17,9944,0.9944
328,12,203,0.0203
328,13,618,0.0618
328,14,1867,0.1867
328,15,4719,0.4719
328,16,8454,0.8454
328,17,9944,0.9944
336,12,156,0.0156
336,13,552,0.0552
336,14,1750,0.175
336,15,4662,0.4662
336,16,8489,0.8489
336,17,9946,0.9946
344,12,141,0.0141
344,13,485,0.0485
344,14,1632,0.1632
344,15,4456,0.4456
344,16,8424,0.8424
344,17,9947,0.9947
352,12,131,0.0131
352,13,491,0.0491
352,14,1667,0.1667
352,15,4369,0.4369
352,16,8472,0.8472
352,17,9946,0.9946
360,12,105,0.0105
360,13,420,0.042
360,14,1453,0.1453
360,15,4206,0.4206
360,16,8396,0.8396
360,17,9936,0.9936
368,12,116,0.0116
368,13,347,0.0347
368,14,1401,0.1401
368,15,4162,0.4162
368,16,8300,0.83
368,17,9931,0.9931
376,12,99,0.0099
376,13,335,0.0335
376,14,1342,0.1342
376,15,4052,0.4052
376,16,8296,0.8296
376,17,9931,0.9931
384,12,70,0.007
384,13,263,0.0263
384,14,1200,0.12
384,15,3837,0.3837
384,16,8149,0.8149
384,17,9921,0.9921
392,12,47,0.0047
392,13,240,0.024
392,14,1092,0.1092
392,15,3743,0.3743
392,16,8158,0.8158
392,17,9938,0.9938
400,12,49,0.0049
400,13,207,0.0207
400,14,985,0.0985
400,15,3523,0.3523
400,16,8005,0.8005
400,17,9922,0.9922
408,12,46,0.0046
408,13,171,0.0171
408,14,876,0.0876
408,15,3355,0.3355
408,16,7899,0.7899
408,17,9909,0.9909
416,12,33,0.0033
416,13,156,0.0156
416,14,781,0.0781
416,15,3128,0.3128
416,16,7757,0.7757
416,17,9923,0.9923
424,12,27,0.0027
424,13,126,0.0126
424,14,661,0.0661
424,15,2873,0.2873
424,16,7664,0.7664
424,17,9911,0.9911
432,12,23,0.0023
432,13,83,0.0083
432,14,620,0.062
432,15,2685,0.2685
432,16,7496,0.7496
432,17,9903,0.9903
440,12,13,0.0013
440,13,66,0.0066
440,14,502,0.0502
440,15,2400,0.24
440,16,7295,0.7295
440,17,9903,0.9903
448,12,15,0.0015
448,13,61,0.0061
448,14,345,0.0345
448,15,2143,0.2143
448,16,7041,0.7041
448,17,9872,0.9872
456,12,12,0.0012
456,13,28,0.0028
456,14,316,0.0316
456,15,1872,0.1872
456,16,6699,0.6699
456,17,9844,0.9844
464,12,8,8e-04
464,13,26,0.0026
464,14,235,0.0235
464,15,1561,0.1561
464,16,6336,0.6336
464,17,9808,0.9808
472,12,5,5e-04
472,13,13,0.0013
472,14,163,0.0163
472,15,1296,0.1296
472,16,5719,0.5719
472,17,9827,0.9827
480,12,3,3e-04
480,13,16,0.0016
480,14,94,0.0094
480,15,934,0.0934
480,16,4999,0.4999
480,17,9760,0.976
488,12,6,6e-04
488,13,14,0.0014
488,14,70,0.007
488,15,644,0.0644
488,16,4001,0.4001
488,17,9661,0.9661
496,12,4,4e-04
496,13,8,8e-04
496,14,27,0.0027
496,15,307,0.0307
496,16,2652,0.2652
496,17,9369,0.9369
504,12,5,5e-04
504,13,3,3e-04
504,14,22,0.0022
504,15,142,0.0142
504,16,1377,0.1377
504,17,8190,0.819
