"leading_edge_index","leading_edge_val","count","crossed_frac"
0,12,56,0.0056
0,13,118,0.0118
0,14,261,0.0261
0,15,603,0.0603
0,16,1135,0.1135
0,17,1524,0.1524
8,12,58,0.0058
8,13,113,0.0113
8,14,232,0.0232
8,15,582,0.0582
8,16,1159,0.1159
8,17,1585,0.1585
16,12,58,0.0058
16,13,119,0.0119
16,14,267,0.0267
16,15,603,0.0603
16,16,1136,0.1136
16,17,1554,0.1554
24,12,50,0.005
24,13,111,0.0111
24,14,277,0.0277
24,15,541,0.0541
24,16,1037,0.1037
24,17,1485,0.1485
32,12,65,0.0065
32,13,128,0.0128
32,14,246,0.0246
32,15,568,0.0568
32,16,1013,0.1013
32,17,1479,0.1479
40,12,61,0.0061
40,13,102,0.0102
40,14,259,0.0259
40,15,521,0.0521
40,16,1047,0.1047
40,17,1370,0.137
48,12,48,0.0048
48,13,92,0.0092
48,14,234,0.0234
48,15,542,0.0542
48,16,999,0.0999
48,17,1360,0.136
56,12,46,0.0046
56,13,93,0.0093
56,14,208,0.0208
56,15,513,0.0513
56,16,919,0.0919
56,17,1365,0.1365
64,12,44,0.0044
64,13,98,0.0098
64,14,251,0.0251
64,15,454,0.0454
64,16,902,0.0902
64,17,1277,0.1277
72,12,53,0.0053
72,13,80,0.008
72,14,204,0.0204
72,15,464,0.0464
72,16,895,0.0895
72,17,1219,0.1219
80,12,37,0.0037
80,13,78,0.0078
80,14,214,0.0214
80,15,479,0.0479
80,16,821,0.0821
80,17,1214,0.1214
88,12,34,0.0034
88,13,63,0.0063
88,14,219,0.0219
88,15,449,0.0449
88,16,860,0.086
88,17,1118,0.1118
96,12,39,0.0039
96,13,73,0.0073
96,14,200,0.02
96,15,445,0.0445
96,16,827,0.0827
96,17,1070,0.107
104,12,33,0.0033
104,13,85,0.0085
104,14,190,0.019
104,15,421,0.0421
104,16,809,0.0809
104,17,1073,0.1073
112,12,32,0.0032
112,13,68,0.0068
112,14,171,0.0171
112,15,383,0.0383
112,16,786,0.0786
112,17,1107,0.1107
120,12,30,0.003
120,13,78,0.0078
120,14,183,0.0183
120,15,424,0.0424
120,16,734,0.0734
120,17,982,0.0982
128,12,22,0.0022
128,13,68,0.0068
128,14,155,0.0155
128,15,392,0.0392
128,16,727,0.0727
128,17,965,0.0965
136,12,25,0.0025
136,13,75,0.0075
136,14,161,0.0161
136,15,371,0.0371
136,16,700,0.07
136,17,968,0.0968
144,12,27,0.0027
144,13,58,0.0058
144,14,151,0.0151
144,15,370,0.037
144,16,682,0.0682
144,17,914,0.0914
152,12,14,0.0014
152,13,78,0.0078
152,14,150,0.015
152,15,367,0.0367
152,16,681,0.0681
152,17,914,0.0914
160,12,24,0.0024
160,13,37,0.0037
160,14,151,0.0151
160,15,402,0.0402
160,16,732,0.0732
160,17,872,0.0872
168,12,12,0.0012
168,13,46,0.0046
168,14,128,0.0128
168,15,307,0.0307
168,16,670,0.067
168,17,837,0.0837
176,12,14,0.0014
176,13,45,0.0045
176,14,134,0.0134
176,15,308,0.0308
176,16,587,0.0587
176,17,829,0.0829
184,12,16,0.0016
184,13,50,0.005
184,14,106,0.0106
184,15,363,0.0363
184,16,638,0.0638
184,17,795,0.0795
192,12,15,0.0015
192,13,45,0.0045
192,14,143,0.0143
192,15,320,0.032
192,16,671,0.0671
192,17,834,0.0834
200,12,17,0.0017
200,13,41,0.0041
200,14,113,0.0113
200,15,344,0.0344
200,16,652,0.0652
200,17,756,0.0756
208,12,16,0.0016
208,13,45,0.0045
208,14,147,0.0147
208,15,311,0.0311
