update,leading_edge_index,leading_edge_value,count_under,second_leading_edge_left_index,second_leading_edge_left_val,second_leading_edge_right_index,second_leading_edge_right_val,count_6,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19,count_20,count_21,count_22,count_23,count_24,count_over
1,7,12,0,None,None,None,None,504,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,12,4,None,None,None,None,497,2,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
3,9,12,5,None,None,None,None,492,5,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0
4,10,12,7,None,None,None,None,486,8,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0
5,11,12,6,None,None,None,None,487,7,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0
6,12,12,7,None,None,None,None,480,12,0,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0
7,13,12,5,None,None,None,None,480,13,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
8,14,13,4,None,None,None,None,478,15,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0
9,15,13,4,None,None,None,None,480,12,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0
10,15,13,6,None,None,None,None,475,15,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0
11,16,13,3,None,None,None,None,469,23,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0
12,16,13,4,None,None,None,None,465,26,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0
13,17,13,4,None,None,None,None,462,28,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0
14,18,13,4,None,None,None,None,455,34,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0
15,19,13,6,None,None,None,None,447,39,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0
16,20,13,7,None,None,None,None,448,36,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0
17,21,13,6,None,None,None,None,440,43,1,0,0,0,13,9,0,0,0,0,0,0,0,0,0,0,0,0
18,22,13,3,None,None,None,None,442,44,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0
19,23,13,3,None,None,None,None,437,48,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0
20,24,13,4,None,None,None,None,433,50,0,0,0,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0
21,24,13,3,None,None,None,None,428,56,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0
22,25,13,3,None,None,None,None,425,57,1,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0
23,26,14,5,None,None,None,None,421,58,1,0,0,0,12,14,1,0,0,0,0,0,0,0,0,0,0,0
24,27,14,3,None,None,None,None,428,52,1,0,0,0,14,13,1,0,0,0,0,0,0,0,0,0,0,0
25,28,14,4,None,None,None,None,420,59,0,0,0,0,14,14,1,0,0,0,0,0,0,0,0,0,0,0
26,29,14,2,None,None,None,None,423,56,1,0,0,0,14,15,1,0,0,0,0,0,0,0,0,0,0,0
27,29,14,8,None,None,None,None,406,68,0,0,0,0,13,15,2,0,0,0,0,0,0,0,0,0,0,0
28,30,14,6,None,None,None,None,412,63,0,0,0,0,13,15,3,0,0,0,0,0,0,0,0,0,0,0
29,31,14,1,None,None,None,None,419,61,0,0,0,0,12,15,4,0,0,0,0,0,0,0,0,0,0,0
30,32,14,5,None,None,None,None,422,50,2,0,0,0,11,15,7,0,0,0,0,0,0,0,0,0,0,0
31,33,14,1,None,None,None,None,423,52,2,0,0,0,9,17,8,0,0,0,0,0,0,0,0,0,0,0
32,34,14,3,None,None,None,None,418,54,2,0,0,0,10,17,8,0,0,0,0,0,0,0,0,0,0,0
33,35,14,4,None,None,None,None,425,44,3,0,0,0,10,17,9,0,0,0,0,0,0,0,0,0,0,0
34,36,14,4,None,None,None,None,422,45,4,0,0,0,9,17,11,0,0,0,0,0,0,0,0,0,0,0
35,36,14,3,None,None,None,None,414,55,3,0,0,0,8,18,11,0,0,0,0,0,0,0,0,0,0,0
36,37,13,2,None,None,None,None,415,54,3,0,0,0,7,20,11,0,0,0,0,0,0,0,0,0,0,0
37,38,13,1,None,None,None,None,412,60,0,0,0,1,7,22,9,0,0,0,0,0,0,0,0,0,0,0
38,39,13,1,None,None,None,None,410,61,0,0,0,0,9,21,10,0,0,0,0,0,0,0,0,0,0,0
39,39,13,1,None,None,None,None,410,60,1,0,0,0,9,19,12,0,0,0,0,0,0,0,0,0,0,0
40,40,13,2,None,None,None,None,405,64,0,0,0,0,11,18,12,0,0,0,0,0,0,0,0,0,0,0
41,40,13,2,None,None,None,None,407,62,0,0,0,0,11,19,11,0,0,0,0,0,0,0,0,0,0,0
42,40,13,3,None,None,None,None,409,59,0,0,0,0,9,21,11,0,0,0,0,0,0,0,0,0,0,0
43,40,13,4,None,None,None,None,405,62,0,0,0,0,10,20,11,0,0,0,0,0,0,0,0,0,0,0
44,41,13,4,None,None,None,None,405,61,0,0,0,0,10,22,10,0,0,0,0,0,0,0,0,0,0,0
45,42,13,4,None,None,None,None,408,57,0,0,0,0,12,23,8,0,0,0,0,0,0,0,0,0,0,0
46,43,13,3,None,None,None,None,405,60,0,0,0,0,11,26,7,0,0,0,0,0,0,0,0,0,0,0
47,44,13,2,None,None,None,None,408,56,1,0,0,0,10,29,6,0,0,0,0,0,0,0,0,0,0,0
48,45,13,3,None,None,None,None,409,52,2,0,0,0,10,29,6,1,0,0,0,0,0,0,0,0,0,0
49,46,13,5,None,None,None,None,406,53,1,0,0,0,11,30,5,1,0,0,0,0,0,0,0,0,0,0
50,47,13,7,None,None,None,None,408,49,0,0,0,0,10,32,5,1,0,0,0,0,0,0,0,0,0,0
51,48,13,6,None,None,None,None,412,45,0,0,0,1,10,32,5,1,0,0,0,0,0,0,0,0,0,0
52,49,13,7,None,None,None,None,410,45,0,0,0,0,12,32,6,0,0,0,0,0,0,0,0,0,0,0
53,50,13,6,None,None,None,None,405,48,2,0,0,0,11,34,6,0,0,0,0,0,0,0,0,0,0,0
54,51,13,2,None,None,None,None,406,50,2,0,0,0,11,35,6,0,0,0,0,0,0,0,0,0,0,0
55,52,13,5,None,None,None,None,401,52,1,0,0,0,12,33,8,0,0,0,0,0,0,0,0,0,0,0
56,53,13,3,None,None,None,None,404,52,0,0,0,0,13,31,9,0,0,0,0,0,0,0,0,0,0,0
57,54,13,7,None,None,None,None,395,55,0,0,0,0,13,35,7,0,0,0,0,0,0,0,0,0,0,0
58,55,13,2,None,None,None,None,398,56,0,0,0,1,13,34,8,0,0,0,0,0,0,0,0,0,0,0
59,56,13,2,None,None,None,None,398,55,0,0,0,0,13,35,9,0,0,0,0,0,0,0,0,0,0,0
60,57,13,0,None,None,None,None,405,49,0,0,0,0,12,35,11,0,0,0,0,0,0,0,0,0,0,0
61,58,13,4,None,None,None,None,404,46,0,0,0,0,11,35,12,0,0,0,0,0,0,0,0,0,0,0
62,57,13,1,None,None,None,None,401,52,0,0,0,0,12,30,16,0,0,0,0,0,0,0,0,0,0,0
63,58,13,1,None,None,None,None,403,50,0,0,0,0,15,27,16,0,0,0,0,0,0,0,0,0,0,0
64,59,13,3,None,None,None,None,398,52,0,0,0,0,15,26,18,0,0,0,0,0,0,0,0,0,0,0
65,59,13,3,None,None,None,None,388,61,0,0,0,0,15,27,18,0,0,0,0,0,0,0,0,0,0,0
66,60,13,5,None,None,None,None,382,64,0,0,0,0,14,29,18,0,0,0,0,0,0,0,0,0,0,0
67,61,13,9,None,None,None,None,380,61,0,0,0,0,17,30,15,0,0,0,0,0,0,0,0,0,0,0
68,62,13,8,None,None,None,None,376,64,1,0,0,0,17,32,14,0,0,0,0,0,0,0,0,0,0,0
69,63,13,4,None,None,None,None,369,74,1,0,0,0,15,35,14,0,0,0,0,0,0,0,0,0,0,0
70,64,13,4,None,None,None,None,375,68,0,0,0,0,12,38,15,0,0,0,0,0,0,0,0,0,0,0
71,65,13,5,None,None,None,None,377,64,0,0,0,0,12,36,18,0,0,0,0,0,0,0,0,0,0,0
72,66,13,5,None,None,None,None,374,65,1,0,0,0,11,40,16,0,0,0,0,0,0,0,0,0,0,0
73,67,13,7,None,None,None,None,367,69,1,0,0,0,10,43,14,1,0,0,0,0,0,0,0,0,0,0
74,68,13,3,None,None,None,None,368,70,2,0,0,0,11,41,16,1,0,0,0,0,0,0,0,0,0,0
