update,leading_edge_index,leading_edge_value,count_under,second_leading_edge_left_index,second_leading_edge_left_val,second_leading_edge_right_index,second_leading_edge_right_val,count_6,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19,count_20,count_21,count_22,count_23,count_24,count_over
580,511,12,0,None,None,None,None,0,0,0,0,0,2,412,96,2,0,0,0,0,0,0,0,0,0,0,0
581,511,12,0,None,None,None,None,0,0,0,0,0,2,418,90,2,0,0,0,0,0,0,0,0,0,0,0
582,511,12,0,None,None,None,None,0,0,0,0,0,3,420,86,3,0,0,0,0,0,0,0,0,0,0,0
583,511,12,0,None,None,None,None,0,0,0,0,0,3,423,83,3,0,0,0,0,0,0,0,0,0,0,0
584,511,12,0,None,None,None,None,0,0,0,0,0,1,426,82,3,0,0,0,0,0,0,0,0,0,0,0
585,511,12,0,None,None,None,None,0,0,0,0,0,3,429,76,4,0,0,0,0,0,0,0,0,0,0,0
586,511,12,0,None,None,None,None,0,0,0,0,0,3,431,73,5,0,0,0,0,0,0,0,0,0,0,0
587,511,13,0,None,None,None,None,0,0,0,0,0,3,437,66,6,0,0,0,0,0,0,0,0,0,0,0
588,511,13,0,None,None,None,None,0,0,0,0,0,3,433,68,8,0,0,0,0,0,0,0,0,0,0,0
589,511,13,0,None,None,None,None,0,0,0,0,0,2,430,71,9,0,0,0,0,0,0,0,0,0,0,0
590,511,13,0,None,None,None,None,0,0,0,0,0,4,429,65,14,0,0,0,0,0,0,0,0,0,0,0
591,511,13,0,None,None,None,None,0,0,0,0,0,4,427,70,11,0,0,0,0,0,0,0,0,0,0,0
592,511,13,0,None,None,None,None,0,0,0,0,0,6,422,71,13,0,0,0,0,0,0,0,0,0,0,0
593,511,13,0,None,None,None,None,0,0,0,0,0,7,423,69,13,0,0,0,0,0,0,0,0,0,0,0
594,511,13,0,None,None,None,None,0,0,0,0,0,5,425,69,13,0,0,0,0,0,0,0,0,0,0,0
595,511,13,0,None,None,None,None,0,0,0,0,0,5,426,64,17,0,0,0,0,0,0,0,0,0,0,0
