"leading_edge_index","leading_edge_val","count","crossed_frac"
0,12,1743,0.1743
0,13,2512,0.2512
0,14,4154,0.4154
0,15,6318,0.6318
0,16,8839,0.8839
0,17,9408,0.9408
8,12,1679,0.1679
8,13,2583,0.2583
8,14,4172,0.4172
8,15,6677,0.6677
8,16,9320,0.932
8,17,9993,0.9993
16,12,1698,0.1698
16,13,2475,0.2475
16,14,4107,0.4107
16,15,6602,0.6602
16,16,9394,0.9394
16,17,9994,0.9994
24,12,1645,0.1645
24,13,2370,0.237
24,14,4120,0.412
24,15,6537,0.6537
24,16,9208,0.9208
24,17,9997,0.9997
32,12,1576,0.1576
32,13,2429,0.2429
32,14,3990,0.399
32,15,6562,0.6562
32,16,9213,0.9213
32,17,9991,0.9991
40,12,1661,0.1661
40,13,2297,0.2297
40,14,3929,0.3929
40,15,6445,0.6445
40,16,9239,0.9239
40,17,9994,0.9994
48,12,1538,0.1538
48,13,2293,0.2293
48,14,3910,0.391
48,15,6490,0.649
48,16,9203,0.9203
48,17,9992,0.9992
56,12,1461,0.1461
56,13,2277,0.2277
56,14,3865,0.3865
56,15,6360,0.636
56,16,9190,0.919
56,17,9994,0.9994
64,12,1407,0.1407
64,13,2165,0.2165
64,14,3865,0.3865
64,15,6520,0.652
64,16,9198,0.9198
64,17,9993,0.9993
72,12,1423,0.1423
72,13,2150,0.215
72,14,3835,0.3835
72,15,6419,0.6419
72,16,9201,0.9201
72,17,9992,0.9992
80,12,1370,0.137
80,13,2097,0.2097
80,14,3734,0.3734
80,15,6308,0.6308
80,16,9166,0.9166
80,17,9989,0.9989
88,12,1309,0.1309
88,13,2147,0.2147
88,14,3796,0.3796
88,15,6321,0.6321
88,16,9151,0.9151
88,17,9993,0.9993
96,12,1299,0.1299
96,13,2019,0.2019
96,14,3734,0.3734
96,15,6326,0.6326
96,16,9156,0.9156
96,17,9994,0.9994
104,12,1184,0.1184
104,13,1880,0.188
104,14,3647,0.3647
104,15,6335,0.6335
104,16,9175,0.9175
104,17,9996,0.9996
112,12,1165,0.1165
112,13,1906,0.1906
112,14,3632,0.3632
112,15,6347,0.6347
112,16,9125,0.9125
112,17,9986,0.9986
120,12,1145,0.1145
120,13,1865,0.1865
120,14,3631,0.3631
120,15,6322,0.6322
120,16,9172,0.9172
120,17,9993,0.9993
128,12,1114,0.1114
128,13,1777,0.1777
128,14,3388,0.3388
128,15,6174,0.6174
128,16,9159,0.9159
128,17,9994,0.9994
136,12,1055,0.1055
136,13,1740,0.174
136,14,3525,0.3525
136,15,6142,0.6142
136,16,9148,0.9148
136,17,9992,0.9992
144,12,992,0.0992
144,13,1738,0.1738
144,14,3438,0.3438
144,15,6107,0.6107
144,16,9151,0.9151
144,17,9991,0.9991
152,12,906,0.0906
152,13,1649,0.1649
152,14,3324,0.3324
152,15,6069,0.6069
152,16,9066,0.9066
152,17,9994,0.9994
160,12,888,0.0888
160,13,1655,0.1655
160,14,3286,0.3286
160,15,6069,0.6069
160,16,9112,0.9112
160,17,9994,0.9994
168,12,857,0.0857
168,13,1585,0.1585
168,14,3215,0.3215
168,15,6039,0.6039
168,16,9097,0.9097
168,17,9992,0.9992
176,12,806,0.0806
176,13,1495,0.1495
176,14,3242,0.3242
176,15,6008,0.6008
176,16,9081,0.9081
176,17,9984,0.9984
184,12,789,0.0789
184,13,1481,0.1481
184,14,3183,0.3183
184,15,5960,0.596
184,16,9051,0.9051
184,17,9994,0.9994
192,12,709,0.0709
192,13,1439,0.1439
192,14,3087,0.3087
192,15,5864,0.5864
192,16,9091,0.9091
192,17,9995,0.9995
200,12,709,0.0709
200,13,1379,0.1379
200,14,3052,0.3052
200,15,5907,0.5907
200,16,9084,0.9084
200,17,9992,0.9992
208,12,688,0.0688
208,13,1277,0.1277
208,14,2961,0.2961
208,15,5752,0.5752
208,16,9085,0.9085
208,17,9986,0.9986
216,12,675,0.0675
216,13,1272,0.1272
216,14,2947,0.2947
216,15,5845,0.5845
216,16,9004,0.9004
216,17,9989,0.9989
224,12,604,0.0604
224,13,1221,0.1221
224,14,2872,0.2872
224,15,5732,0.5732
224,16,9028,0.9028
224,17,9988,0.9988
232,12,542,0.0542
232,13,1235,0.1235
232,14,2680,0.268
232,15,5516,0.5516
232,16,9009,0.9009
232,17,9991,0.9991
240,12,479,0.0479
240,13,1132,0.1132
240,14,2767,0.2767
240,15,5698,0.5698
240,16,9007,0.9007
240,17,9991,0.9991
248,12,497,0.0497
248,13,1128,0.1128
248,14,2582,0.2582
248,15,5566,0.5566
248,16,8941,0.8941
248,17,9990,0.999
256,12,444,0.0444
256,13,984,0.0984
256,14,2563,0.2563
256,15,5474,0.5474
256,16,8981,0.8981
256,17,9988,0.9988
264,12,412,0.0412
264,13,976,0.0976
264,14,2532,0.2532
264,15,5514,0.5514
264,16,8898,0.8898
264,17,9991,0.9991
272,12,406,0.0406
272,13,911,0.0911
272,14,2446,0.2446
272,15,5386,0.5386
272,16,8893,0.8893
272,17,9989,0.9989
280,12,317,0.0317
280,13,920,0.092
280,14,2349,0.2349
280,15,5290,0.529
280,16,8953,0.8953
280,17,9982,0.9982
