update,leading_edge_index,leading_edge_value,count_under,second_leading_edge_left_index,second_leading_edge_left_val,second_leading_edge_right_index,second_leading_edge_right_val,count_6,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19,count_20,count_21,count_22,count_23,count_24,count_over
1,7,12,0,None,None,None,None,504,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,12,2,None,None,None,None,501,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,12,8,None,None,None,None,490,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,12,3,None,None,None,None,496,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,12,4,None,None,None,None,493,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
6,11,12,2,None,None,None,None,495,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11,12,4,None,None,None,None,491,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
8,12,12,2,None,None,None,None,489,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
9,13,12,1,None,None,None,None,490,6,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
10,14,12,4,None,None,None,None,483,10,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
11,15,12,4,None,None,None,None,477,15,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
12,15,12,6,None,None,None,None,473,16,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
13,16,12,2,None,None,None,None,472,20,1,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0
14,17,12,2,None,None,None,None,469,23,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0
15,18,12,0,None,None,None,None,468,25,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0
16,19,12,0,None,None,None,None,462,30,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
17,19,12,3,None,None,None,None,462,27,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
18,20,12,4,None,None,None,None,458,29,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
19,21,12,6,None,None,None,None,457,27,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0
20,22,12,1,None,None,None,None,453,35,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0
21,22,12,4,None,None,None,None,450,35,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,12,4,None,None,None,None,449,35,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
23,24,12,3,None,None,None,None,449,35,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,12,4,None,None,None,None,453,30,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,12,4,None,None,None,None,452,28,2,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
26,25,12,0,None,None,None,None,463,22,1,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0
27,25,13,3,None,None,None,None,457,25,1,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0
28,25,12,4,None,None,None,None,457,23,2,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0
29,26,12,2,None,None,None,None,453,29,1,0,0,2,23,2,0,0,0,0,0,0,0,0,0,0,0,0
30,27,12,3,None,None,None,None,449,31,1,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,0,0
31,28,12,1,None,None,None,None,445,36,1,0,0,0,27,1,1,0,0,0,0,0,0,0,0,0,0,0
32,29,11,3,None,None,None,None,438,37,4,0,0,2,26,1,1,0,0,0,0,0,0,0,0,0,0,0
33,29,12,2,None,None,None,None,440,37,3,0,0,2,27,1,0,0,0,0,0,0,0,0,0,0,0,0
34,30,12,2,None,None,None,None,438,39,2,0,0,1,29,1,0,0,0,0,0,0,0,0,0,0,0,0
35,31,12,2,None,None,None,None,437,38,3,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0
36,31,12,5,None,None,None,None,436,35,4,0,0,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0
37,32,12,9,None,None,None,None,426,40,4,0,0,0,31,2,0,0,0,0,0,0,0,0,0,0,0,0
38,33,12,11,None,None,None,None,422,41,4,0,0,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0
39,34,12,7,None,None,None,None,433,32,5,0,0,0,32,3,0,0,0,0,0,0,0,0,0,0,0,0
40,35,12,2,None,None,None,None,443,29,2,0,0,0,32,4,0,0,0,0,0,0,0,0,0,0,0,0
41,36,12,3,None,None,None,None,443,27,2,0,0,0,34,3,0,0,0,0,0,0,0,0,0,0,0,0
42,37,12,4,None,None,None,None,448,22,1,0,0,0,33,4,0,0,0,0,0,0,0,0,0,0,0,0
43,37,12,3,None,None,None,None,443,26,2,0,0,0,32,6,0,0,0,0,0,0,0,0,0,0,0,0
44,38,12,2,None,None,None,None,445,26,0,0,0,0,34,5,0,0,0,0,0,0,0,0,0,0,0,0
45,39,12,4,None,None,None,None,446,22,0,0,0,0,33,7,0,0,0,0,0,0,0,0,0,0,0,0
46,40,12,3,None,None,None,None,443,25,0,0,0,0,34,7,0,0,0,0,0,0,0,0,0,0,0,0
47,41,12,4,None,None,None,None,433,33,0,0,0,0,37,5,0,0,0,0,0,0,0,0,0,0,0,0
48,41,12,5,None,None,None,None,435,30,0,0,0,0,38,4,0,0,0,0,0,0,0,0,0,0,0,0
49,42,12,2,None,None,None,None,434,33,0,0,0,0,37,6,0,0,0,0,0,0,0,0,0,0,0,0
50,43,12,4,None,None,None,None,427,37,0,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0,0,0
51,44,12,3,None,None,None,None,430,32,2,0,0,0,39,6,0,0,0,0,0,0,0,0,0,0,0,0
52,44,12,7,None,None,None,None,425,33,2,0,0,0,40,5,0,0,0,0,0,0,0,0,0,0,0,0
53,45,12,1,None,None,None,None,438,24,3,0,0,0,41,5,0,0,0,0,0,0,0,0,0,0,0,0
54,45,12,7,None,None,None,None,428,27,4,0,0,0,40,6,0,0,0,0,0,0,0,0,0,0,0,0
55,46,12,5,None,None,None,None,427,32,1,0,0,0,41,6,0,0,0,0,0,0,0,0,0,0,0,0
56,46,12,0,None,None,None,None,429,34,2,0,0,0,39,8,0,0,0,0,0,0,0,0,0,0,0,0
57,47,12,2,None,None,None,None,423,37,2,0,0,0,41,7,0,0,0,0,0,0,0,0,0,0,0,0
58,48,12,4,None,None,None,None,419,39,1,0,0,1,40,8,0,0,0,0,0,0,0,0,0,0,0,0
59,49,12,4,None,None,None,None,413,44,2,0,0,1,40,8,0,0,0,0,0,0,0,0,0,0,0,0
60,49,12,4,None,None,None,None,413,44,2,0,0,0,40,9,0,0,0,0,0,0,0,0,0,0,0,0
61,50,12,5,None,None,None,None,415,38,3,0,0,0,41,10,0,0,0,0,0,0,0,0,0,0,0,0
62,50,12,3,None,None,None,None,409,45,4,0,0,1,39,11,0,0,0,0,0,0,0,0,0,0,0,0
63,51,12,0,None,None,None,None,412,44,4,0,0,0,41,11,0,0,0,0,0,0,0,0,0,0,0,0
64,51,12,5,None,None,None,None,401,49,5,0,0,1,40,11,0,0,0,0,0,0,0,0,0,0,0,0
65,52,12,4,None,None,None,None,398,53,4,0,0,0,41,12,0,0,0,0,0,0,0,0,0,0,0,0
66,53,12,2,None,None,None,None,404,47,5,0,0,1,42,11,0,0,0,0,0,0,0,0,0,0,0,0
67,54,12,8,None,None,None,None,396,45,8,0,0,1,44,10,0,0,0,0,0,0,0,0,0,0,0,0
68,55,12,4,None,None,None,None,392,49,11,0,0,2,43,11,0,0,0,0,0,0,0,0,0,0,0,0
69,56,12,7,None,None,None,None,386,48,14,0,0,0,46,11,0,0,0,0,0,0,0,0,0,0,0,0
