slurm_task_id,trial_id,relative_update,cross_counter
1,68,7082,1
1,73,6195,1
1,83,5421,1
1,97,9516,1
1,99,6374,1
1,112,2928,1
1,126,5202,1
1,148,4758,1
1,178,9566,1
1,194,7939,1
1,208,995,1
1,228,2939,1
1,276,6704,1
1,291,895,1
1,299,3322,1
1,300,3926,1
1,322,3563,1
1,438,7116,1
1,457,507,1
1,506,8326,1
1,508,8262,1
1,550,9128,1
1,562,6083,1
1,590,9942,1
1,634,8171,1
1,641,663,1
1,641,634,2
1,710,4507,1
1,737,8785,1
1,828,6638,1
1,965,2030,1
1,965,7604,2
1,987,342,1
1,991,1854,1
2,11,1841,1
2,21,7385,1
2,33,8374,1
2,35,5403,1
2,43,5415,1
2,43,445,2
2,111,8664,1
2,145,7778,1
2,175,5064,1
2,229,1584,1
2,302,5468,1
2,355,2497,1
2,369,3472,1
2,462,9530,1
2,475,7851,1
2,491,7859,1
2,491,531,2
2,512,6991,1
2,628,8682,1
2,634,4099,1
2,645,7261,1
2,812,2750,1
2,812,403,2
2,839,4767,1
2,843,1165,1
2,937,1692,1
2,955,6858,1
3,12,389,1
3,15,4300,1
3,15,267,2
3,66,1840,1
3,115,5912,1
3,125,2171,1
3,162,5224,1
3,200,9549,1
3,334,3367,1
3,334,190,2
3,376,4174,1
3,387,8392,1
3,492,5168,1
3,499,3593,1
3,539,4091,1
3,542,7019,1
3,574,2572,1
3,574,330,2
3,657,8429,1
3,665,7464,1
3,726,5584,1
3,768,7620,1
3,768,410,2
3,799,6374,1
3,812,1340,1
3,820,3395,1
3,891,2825,1
3,941,148,1
3,988,2052,1
3,995,1493,1
4,37,7761,1
4,37,439,2
4,50,9504,1
4,67,3751,1
4,137,8065,1
4,142,8051,1
4,146,6160,1
4,193,7170,1
4,222,7302,1
4,232,6759,1
4,263,6695,1
4,263,442,2
4,325,4820,1
4,334,8690,1
4,376,7246,1
4,382,1186,1
4,448,3509,1
4,537,5064,1
4,573,6561,1
4,699,7606,1
4,706,7216,1
4,706,372,2
4,731,3664,1
4,850,3828,1
4,850,642,2
4,900,373,1
4,900,382,2
4,961,6639,1
5,27,6947,1
5,31,2203,1
5,108,3827,1
5,125,7986,1
5,154,6741,1
5,163,9334,1
5,164,5477,1
5,164,402,2
5,209,1797,1
5,231,3401,1
5,231,387,2
5,246,9716,1
5,250,3533,1
5,252,4876,1
5,259,8868,1
5,262,2572,1
5,277,9424,1
5,305,2539,1
5,307,5711,1
5,312,7191,1
5,367,5713,1
5,381,5612,1
5,437,294,1
5,541,249,1
5,569,1173,1
5,615,7031,1
5,627,3374,1
5,682,7520,1
5,688,9328,1
5,756,4363,1
5,789,6818,1
5,845,2915,1
5,974,9827,1
5,981,1596,1
6,13,5273,1
6,48,4415,1
6,73,5138,1
6,94,5130,1
6,145,9747,1
6,150,2654,1
6,203,3935,1
6,203,615,2
6,257,4688,1
6,289,6910,1
6,310,1187,1
6,334,1697,1
6,339,766,1
6,355,7292,1
6,362,5516,1
6,362,3357,2
6,363,7774,1
6,386,6074,1
6,392,8366,1
6,476,793,1
6,532,6778,1
6,550,3116,1
6,604,5519,1
6,674,8027,1
6,754,8314,1
6,787,1465,1
6,799,7831,1
6,843,1680,1
6,843,336,2
6,915,953,1
6,932,5572,1
6,935,579,1
6,943,9171,1
6,948,6869,1
7,48,734,1
7,97,7939,1
7,153,8820,1
7,159,4935,1
7,242,8688,1
7,292,5477,1
7,327,9300,1
7,446,6623,1
7,448,3568,1
7,452,6743,1
7,459,477,1
7,526,6545,1
7,534,9027,1
7,571,7737,1
7,589,1372,1
7,589,465,2
7,600,2404,1
7,729,3133,1
7,735,9559,1
7,835,396,1
7,855,881,1
7,855,312,2
7,924,7124,1
7,925,5157,1
7,930,2005,1
8,2,2276,1
8,26,7545,1
8,108,9081,1
8,178,1428,1
8,185,8648,1
8,185,264,2
8,198,3761,1
8,272,3467,1
8,341,8216,1
8,343,4672,1
8,358,6325,1
8,426,9058,1
8,447,1629,1
8,538,8275,1
8,559,6119,1
8,567,5697,1
8,567,193,2
8,592,4837,1
8,656,4637,1
8,699,4953,1
8,710,7734,1
8,721,3163,1
8,751,4767,1
8,783,6706,1
8,946,8364,1
8,972,8730,1
9,13,4350,1
9,53,6051,1
9,60,9180,1
9,120,1274,1
9,120,412,2
9,222,4878,1
9,222,371,2
9,225,1879,1
9,227,270,1
9,338,5462,1
9,384,9285,1
9,453,9925,1
9,513,3772,1
9,518,3754,1
9,520,5104,1
9,536,1195,1
9,601,3599,1
9,622,6469,1
9,652,5802,1
9,696,8158,1
9,719,6094,1
9,746,9455,1
9,775,2363,1
9,783,8760,1
9,788,4290,1
9,830,9281,1
9,830,155,2
9,830,347,3
9,841,634,1
9,858,6060,1
9,858,225,2
9,872,9063,1
9,879,3693,1
9,908,7568,1
10,45,9649,1
10,61,4193,1
10,161,5128,1
10,161,367,2
10,168,6902,1
10,168,335,2
10,228,592,1
10,339,3327,1
10,380,9794,1
10,383,5168,1
10,427,5835,1
10,436,6233,1
10,490,4311,1
10,525,1600,1
10,548,412,1
10,573,1253,1
10,573,192,2
10,606,6211,1
10,699,2377,1
10,741,3225,1
10,774,9564,1
10,826,3631,1
10,832,7807,1
10,836,2997,1
10,843,2286,1
10,859,2272,1
10,906,3422,1
10,914,1534,1
10,954,5317,1
10,988,2504,1
10,998,8877,1
11,41,3307,1
11,69,1444,1
11,79,4299,1
11,79,263,2
11,94,7988,1
11,202,9557,1
11,248,3208,1
11,316,3024,1
11,414,4473,1
11,414,370,2
11,459,6616,1
11,507,7022,1
11,529,8591,1
