"slurm_task_id","trial_id","relative_update","cross_counter","cross_counter_str","first_cross_update"
1,112,2928,1,"First",NA
1,148,4758,1,"First",NA
1,208,995,1,"First",NA
1,228,2939,1,"First",NA
1,291,895,1,"First",NA
1,299,3322,1,"First",NA
1,300,3926,1,"First",NA
1,322,3563,1,"First",NA
1,457,507,1,"First",NA
1,641,663,1,"First",NA
1,710,4507,1,"First",NA
1,965,2030,1,"First",NA
1,987,342,1,"First",NA
1,991,1854,1,"First",NA
2,11,1841,1,"First",NA
2,229,1584,1,"First",NA
2,355,2497,1,"First",NA
2,369,3472,1,"First",NA
2,634,4099,1,"First",NA
2,812,2750,1,"First",NA
2,839,4767,1,"First",NA
2,843,1165,1,"First",NA
2,937,1692,1,"First",NA
3,12,389,1,"First",NA
3,15,4300,1,"First",NA
3,66,1840,1,"First",NA
3,125,2171,1,"First",NA
3,334,3367,1,"First",NA
3,376,4174,1,"First",NA
3,499,3593,1,"First",NA
3,539,4091,1,"First",NA
3,574,2572,1,"First",NA
3,812,1340,1,"First",NA
3,820,3395,1,"First",NA
3,891,2825,1,"First",NA
3,941,148,1,"First",NA
3,988,2052,1,"First",NA
3,995,1493,1,"First",NA
4,67,3751,1,"First",NA
4,325,4820,1,"First",NA
4,382,1186,1,"First",NA
4,448,3509,1,"First",NA
4,731,3664,1,"First",NA
4,850,3828,1,"First",NA
4,900,373,1,"First",NA
5,31,2203,1,"First",NA
5,108,3827,1,"First",NA
5,209,1797,1,"First",NA
5,231,3401,1,"First",NA
5,250,3533,1,"First",NA
5,252,4876,1,"First",NA
5,262,2572,1,"First",NA
5,305,2539,1,"First",NA
5,437,294,1,"First",NA
5,541,249,1,"First",NA
5,569,1173,1,"First",NA
5,627,3374,1,"First",NA
5,756,4363,1,"First",NA
5,845,2915,1,"First",NA
5,981,1596,1,"First",NA
6,48,4415,1,"First",NA
6,150,2654,1,"First",NA
6,203,3935,1,"First",NA
6,257,4688,1,"First",NA
6,310,1187,1,"First",NA
6,334,1697,1,"First",NA
6,339,766,1,"First",NA
6,476,793,1,"First",NA
6,550,3116,1,"First",NA
6,787,1465,1,"First",NA
