"slurm_task_id","trial_id","relative_update","cross_counter","cross_counter_str","first_cross_update"
72,465,362,2,"Second",4959
73,779,180,2,"Second",4500
74,43,509,2,"Second",4545
75,645,190,2,"Second",4673
76,299,547,2,"Second",3752
76,514,314,2,"Second",244
77,361,448,2,"Second",3198
77,370,2570,2,"Second",3775
78,109,406,2,"Second",171
78,203,329,2,"Second",2986
78,912,584,2,"Second",4456
78,947,450,2,"Second",2602
79,331,252,2,"Second",2827
80,682,273,2,"Second",4074
80,761,479,2,"Second",2336
80,876,402,2,"Second",3806
80,900,428,2,"Second",2258
81,267,363,2,"Second",1466
81,680,444,2,"Second",1098
81,821,529,2,"Second",915
83,282,365,2,"Second",4273
83,485,419,2,"Second",3450
83,849,257,2,"Second",3583
83,973,1221,2,"Second",1618
84,223,339,2,"Second",1449
84,758,579,2,"Second",2444
85,260,162,2,"Second",852
86,692,393,2,"Second",2239
87,871,384,2,"Second",4822
88,609,570,2,"Second",3445
89,221,371,2,"Second",2327
89,802,3951,2,"Second",1513
89,939,260,2,"Second",531
90,606,333,2,"Second",4644
90,855,320,2,"Second",4230
91,497,509,2,"Second",4816
92,266,328,2,"Second",1254
93,119,572,2,"Second",4528
93,313,660,2,"Second",279
94,189,175,2,"Second",2321
94,384,298,2,"Second",4482
94,599,469,2,"Second",1879
96,407,539,2,"Second",650
96,818,376,2,"Second",919
97,343,292,2,"Second",1929
97,584,477,2,"Second",1216
97,884,630,2,"Second",2710
99,245,400,2,"Second",986
99,338,438,2,"Second",2514
99,440,479,2,"Second",453
99,542,472,2,"Second",786
100,8,613,2,"Second",1383
100,73,506,2,"Second",2609
100,303,452,2,"Second",4557
100,906,352,2,"Second",3170
101,698,189,2,"Second",1964
101,964,3900,2,"Second",297
105,364,513,2,"Second",2513
107,102,562,2,"Second",3673
107,345,3739,2,"Second",2557
107,375,200,2,"Second",1326
108,346,355,2,"Second",2055
108,925,432,2,"Second",3582
109,800,167,2,"Second",1693
109,973,201,2,"Second",3615
110,809,382,2,"Second",3276
110,917,145,2,"Second",2251
111,100,759,2,"Second",3528
111,609,566,2,"Second",4636
111,618,3820,2,"Second",3724
111,964,608,2,"Second",226
114,323,3842,2,"Second",2799
115,833,394,2,"Second",3419
116,345,638,2,"Second",4731
116,427,458,2,"Second",293
116,550,195,2,"Second",1224
117,347,373,2,"Second",4374
117,406,601,2,"Second",4327
117,588,334,2,"Second",3698
119,75,446,2,"Second",728
120,151,370,2,"Second",4571
120,344,349,2,"Second",1400
120,520,261,2,"Second",3732
120,993,518,2,"Second",1023
122,261,381,2,"Second",3446
122,591,561,2,"Second",2431
123,759,396,2,"Second",4371
124,331,375,2,"Second",2591
126,489,365,2,"Second",2899
126,617,355,2,"Second",3536
127,675,574,2,"Second",568
127,942,263,2,"Second",3393
127,959,304,2,"Second",2220
128,870,376,2,"Second",1449
128,966,305,2,"Second",4637
129,284,353,2,"Second",4603
129,709,415,2,"Second",1862
129,995,583,2,"Second",2221
130,667,380,2,"Second",3890
131,586,309,2,"Second",1711
132,3,269,2,"Second",4098
132,646,333,2,"Second",3822
132,785,481,2,"Second",1299
133,405,2714,2,"Second",2056
133,837,2469,2,"Second",2788
134,548,493,2,"Second",743
134,670,359,2,"Second",1697
134,823,193,2,"Second",161
135,176,435,2,"Second",1696
137,304,4460,2,"Second",1959
137,404,281,2,"Second",2622
137,659,180,2,"Second",3567
138,188,268,2,"Second",3162
138,581,507,2,"Second",1445
139,373,616,2,"Second",3785
139,810,414,2,"Second",4724
140,956,359,2,"Second",1827
141,385,392,2,"Second",2013
142,61,196,2,"Second",4347
142,989,233,2,"Second",2932
143,86,236,2,"Second",2456
143,149,189,2,"Second",2056
143,220,497,2,"Second",836
143,464,606,2,"Second",1692
143,483,361,2,"Second",3867
143,883,483,2,"Second",1467
143,980,560,2,"Second",3659
144,520,373,2,"Second",4660
144,836,571,2,"Second",1411
144,859,277,2,"Second",677
144,940,529,2,"Second",4496
146,262,498,2,"Second",1634
147,130,410,2,"Second",1595
147,341,430,2,"Second",2793
147,583,346,2,"Second",3927
148,243,103,2,"Second",894
148,572,646,2,"Second",559
149,179,577,2,"Second",1345
149,897,257,2,"Second",904
150,307,594,2,"Second",4210
151,38,494,2,"Second",4159
151,471,408,2,"Second",3037
151,838,396,2,"Second",4534
152,163,509,2,"Second",430
152,559,434,2,"Second",2339
152,643,266,2,"Second",3070
152,745,178,2,"Second",1406
153,127,143,2,"Second",84
153,390,207,2,"Second",2870
154,553,382,2,"Second",2157
155,213,349,2,"Second",3306
155,359,386,2,"Second",4034
156,193,599,2,"Second",576
157,504,1857,2,"Second",3715
157,907,401,2,"Second",1566
158,144,238,2,"Second",2175
158,458,409,2,"Second",3087
159,5,221,2,"Second",2587
159,107,540,2,"Second",2645
159,391,599,2,"Second",565
159,521,1724,2,"Second",629
160,126,2619,2,"Second",2081
160,333,192,2,"Second",3159
160,370,372,2,"Second",3975
160,680,281,2,"Second",526
160,716,535,2,"Second",2051
161,571,181,2,"Second",1245
162,967,100,2,"Second",1846
163,272,536,2,"Second",3096
163,495,473,2,"Second",1452
163,789,404,2,"Second",1802
164,343,383,2,"Second",1914
164,405,227,2,"Second",4046
164,736,606,2,"Second",3171
165,46,439,2,"Second",2711
165,64,573,2,"Second",1926
165,335,307,2,"Second",380
166,958,235,2,"Second",3277
167,200,439,2,"Second",2211
168,409,359,2,"Second",3419
168,864,566,2,"Second",4677
