update,leading_edge_index,leading_edge_value,count_under,second_leading_edge_left_index,second_leading_edge_left_val,second_leading_edge_right_index,second_leading_edge_right_val,count_6,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19,count_20,count_21,count_22,count_23,count_24,count_over
1,7,12,0,None,None,None,None,504,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,12,2,None,None,None,None,496,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,12,3,None,None,None,None,492,7,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,12,5,None,None,None,None,483,13,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11,12,0,None,None,None,None,483,17,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12,12,2,None,None,None,None,477,20,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0
7,13,12,4,None,None,None,None,467,27,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0
8,14,12,3,None,None,None,None,471,23,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0
9,15,12,2,None,None,None,None,475,20,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0
10,16,11,2,None,None,None,None,467,27,0,0,0,1,12,2,1,0,0,0,0,0,0,0,0,0,0,0
11,17,11,5,None,None,None,None,458,32,0,0,0,1,13,2,1,0,0,0,0,0,0,0,0,0,0,0
12,18,11,2,None,None,None,None,457,35,0,0,0,1,12,3,2,0,0,0,0,0,0,0,0,0,0,0
13,17,11,6,None,None,None,None,452,36,0,0,0,1,12,3,2,0,0,0,0,0,0,0,0,0,0,0
14,17,12,0,None,None,None,None,455,39,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0
15,18,12,0,None,None,None,None,454,39,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0
16,19,12,5,None,None,None,None,447,40,0,0,0,1,14,5,0,0,0,0,0,0,0,0,0,0,0,0
