"leading_edge_index","leading_edge_val","slurm_array_task_id","count","crossed_frac"
0,12,1,18,0.0018
0,13,65,16,0.0016
0,14,129,22,0.0022
0,15,193,12,0.0012
0,16,257,25,0.0025
0,17,321,168,0.0168
8,12,2,9,9e-04
8,13,66,12,0.0012
8,14,130,20,0.002
8,15,194,43,0.0043
8,16,258,302,0.0302
8,17,322,3837,0.3837
16,12,3,15,0.0015
16,13,67,13,0.0013
16,14,131,17,0.0017
16,15,195,20,0.002
16,16,259,153,0.0153
16,17,323,3039,0.3039
24,12,4,11,0.0011
24,13,68,17,0.0017
24,14,132,11,0.0011
24,15,196,25,0.0025
24,16,260,158,0.0158
24,17,324,3037,0.3037
32,12,5,17,0.0017
32,13,69,16,0.0016
32,14,133,26,0.0026
32,15,197,21,0.0021
32,16,261,138,0.0138
32,17,325,3061,0.3061
40,12,6,18,0.0018
40,13,70,24,0.0024
40,14,134,19,0.0019
40,15,198,28,0.0028
40,16,262,149,0.0149
40,17,326,3037,0.3037
48,12,7,21,0.0021
48,13,71,13,0.0013
48,14,135,13,0.0013
48,15,199,22,0.0022
48,16,263,165,0.0165
48,17,327,3016,0.3016
56,12,8,18,0.0018
56,13,72,22,0.0022
56,14,136,22,0.0022
56,15,200,25,0.0025
56,16,264,148,0.0148
56,17,328,3085,0.3085
64,12,9,18,0.0018
64,13,73,20,0.002
64,14,137,14,0.0014
64,15,201,29,0.0029
64,16,265,172,0.0172
64,17,329,3071,0.3071
72,12,10,19,0.0019
72,13,74,20,0.002
72,14,138,11,0.0011
72,15,202,18,0.0018
72,16,266,138,0.0138
72,17,330,2983,0.2983
80,12,11,14,0.0014
80,13,75,17,0.0017
80,14,139,20,0.002
80,15,203,14,0.0014
80,16,267,152,0.0152
80,17,331,2981,0.2981
88,12,12,13,0.0013
88,13,76,22,0.0022
88,14,140,15,0.0015
88,15,204,27,0.0027
88,16,268,157,0.0157
88,17,332,2983,0.2983
96,12,13,12,0.0012
96,13,77,16,0.0016
96,14,141,20,0.002
96,15,205,27,0.0027
96,16,269,163,0.0163
96,17,333,3092,0.3092
104,12,14,12,0.0012
104,13,78,17,0.0017
104,14,142,19,0.0019
104,15,206,26,0.0026
104,16,270,156,0.0156
104,17,334,3022,0.3022
112,12,15,18,0.0018
112,13,79,12,0.0012
112,14,143,9,9e-04
112,15,207,21,0.0021
112,16,271,153,0.0153
112,17,335,3041,0.3041
120,12,16,10,0.001
120,13,80,18,0.0018
120,14,144,9,9e-04
120,15,208,22,0.0022
120,16,272,153,0.0153
120,17,336,3009,0.3009
128,12,17,17,0.0017
128,13,81,15,0.0015
128,14,145,15,0.0015
128,15,209,28,0.0028
128,16,273,147,0.0147
128,17,337,3022,0.3022
136,12,18,16,0.0016
136,13,82,17,0.0017
136,14,146,17,0.0017
136,15,210,26,0.0026
136,16,274,178,0.0178
136,17,338,3019,0.3019
144,12,19,14,0.0014
144,13,83,13,0.0013
144,14,147,12,0.0012
144,15,211,22,0.0022
144,16,275,148,0.0148
144,17,339,3008,0.3008
152,12,20,22,0.0022
152,13,84,10,0.001
152,14,148,9,9e-04
152,15,212,25,0.0025
152,16,276,172,0.0172
152,17,340,2969,0.2969
160,12,21,10,0.001
160,13,85,19,0.0019
160,14,149,15,0.0015
160,15,213,24,0.0024
160,16,277,163,0.0163
160,17,341,3086,0.3086
168,12,22,14,0.0014
168,13,86,12,0.0012
168,14,150,15,0.0015
168,15,214,23,0.0023
168,16,278,152,0.0152
168,17,342,3092,0.3092
176,12,23,11,0.0011
176,13,87,11,0.0011
176,14,151,13,0.0013
176,15,215,14,0.0014
176,16,279,157,0.0157
176,17,343,3115,0.3115
184,12,24,13,0.0013
184,13,88,15,0.0015
184,14,152,12,0.0012
184,15,216,21,0.0021
184,16,280,152,0.0152
184,17,344,3010,0.301
192,12,25,12,0.0012
192,13,89,18,0.0018
192,14,153,7,7e-04
192,15,217,18,0.0018
192,16,281,171,0.0171
192,17,345,3027,0.3027
200,12,26,6,6e-04
200,13,90,12,0.0012
200,14,154,15,0.0015
200,15,218,20,0.002
200,16,282,142,0.0142
200,17,346,3063,0.3063
208,12,27,6,6e-04
208,13,91,11,0.0011
208,14,155,7,7e-04
208,15,219,15,0.0015
208,16,283,147,0.0147
208,17,347,3040,0.304
216,12,28,9,9e-04
216,13,92,12,0.0012
216,14,156,13,0.0013
216,15,220,17,0.0017
216,16,284,170,0.017
216,17,348,3043,0.3043
224,12,29,12,0.0012
224,13,93,19,0.0019
224,14,157,12,0.0012
224,15,221,17,0.0017
224,16,285,136,0.0136
224,17,349,3043,0.3043
232,12,30,5,5e-04
232,13,94,15,0.0015
232,14,158,7,7e-04
232,15,222,17,0.0017
232,16,286,145,0.0145
232,17,350,3020,0.302
240,12,31,11,0.0011
240,13,95,9,9e-04
240,14,159,8,8e-04
240,15,223,12,0.0012
240,16,287,149,0.0149
240,17,351,3061,0.3061
248,12,32,11,0.0011
248,13,96,8,8e-04
248,14,160,6,6e-04
248,15,224,17,0.0017
248,16,288,159,0.0159
248,17,352,3094,0.3094
256,12,33,8,8e-04
256,13,97,12,0.0012
256,14,161,8,8e-04
256,15,225,17,0.0017
256,16,289,150,0.015
256,17,353,2990,0.299
264,12,34,4,4e-04
264,13,98,10,0.001
264,14,162,7,7e-04
264,15,226,12,0.0012
264,16,290,170,0.017
264,17,354,3055,0.3055
272,12,35,7,7e-04
272,13,99,10,0.001
272,14,163,12,0.0012
272,15,227,23,0.0023
272,16,291,155,0.0155
272,17,355,3018,0.3018
280,12,36,7,7e-04
280,13,100,9,9e-04
280,14,164,9,9e-04
280,15,228,14,0.0014
280,16,292,144,0.0144
280,17,356,3015,0.3015
288,12,37,16,0.0016
288,13,101,10,0.001
288,14,165,8,8e-04
288,15,229,16,0.0016
288,16,293,153,0.0153
288,17,357,3080,0.308
296,12,38,8,8e-04
296,13,102,12,0.0012
296,14,166,9,9e-04
296,15,230,16,0.0016
296,16,294,156,0.0156
296,17,358,3186,0.3186
304,12,39,7,7e-04
304,13,103,11,0.0011
304,14,167,7,7e-04
304,15,231,19,0.0019
304,16,295,140,0.014
304,17,359,3131,0.3131
312,12,40,11,0.0011
312,13,104,4,4e-04
312,14,168,9,9e-04
312,15,232,20,0.002
312,16,296,154,0.0154
312,17,360,3041,0.3041
320,12,41,8,8e-04
320,13,105,12,0.0012
320,14,169,8,8e-04
320,15,233,19,0.0019
320,16,297,146,0.0146
320,17,361,3101,0.3101
328,12,42,5,5e-04
328,13,106,4,4e-04
328,14,170,11,0.0011
328,15,234,17,0.0017
328,16,298,144,0.0144
328,17,362,2956,0.2956
336,12,43,9,9e-04
336,13,107,8,8e-04
336,14,171,12,0.0012
336,15,235,13,0.0013
