"leading_edge_index","leading_edge_val","count","crossed_frac"
312,13,664,0.0664
312,14,1994,0.1994
312,15,4783,0.4783
312,16,8355,0.8355
312,17,9762,0.9762
320,12,197,0.0197
320,13,633,0.0633
320,14,1966,0.1966
320,15,4805,0.4805
320,16,8323,0.8323
320,17,9720,0.972
328,12,194,0.0194
328,13,598,0.0598
328,14,1925,0.1925
328,15,4678,0.4678
328,16,8342,0.8342
328,17,9758,0.9758
336,12,166,0.0166
336,13,552,0.0552
336,14,1757,0.1757
336,15,4508,0.4508
336,16,8291,0.8291
336,17,9746,0.9746
344,12,133,0.0133
344,13,461,0.0461
344,14,1713,0.1713
344,15,4433,0.4433
344,16,8299,0.8299
344,17,9769,0.9769
352,12,152,0.0152
352,13,469,0.0469
352,14,1624,0.1624
352,15,4314,0.4314
352,16,8171,0.8171
352,17,9762,0.9762
360,12,118,0.0118
360,13,401,0.0401
360,14,1535,0.1535
360,15,4272,0.4272
360,16,8150,0.815
360,17,9716,0.9716
368,12,85,0.0085
368,13,363,0.0363
368,14,1376,0.1376
368,15,4121,0.4121
368,16,8068,0.8068
368,17,9754,0.9754
376,12,77,0.0077
376,13,340,0.034
376,14,1249,0.1249
376,15,3920,0.392
376,16,8008,0.8008
376,17,9716,0.9716
384,12,48,0.0048
384,13,266,0.0266
384,14,1161,0.1161
384,15,3827,0.3827
384,16,7969,0.7969
384,17,9723,0.9723
392,12,57,0.0057
392,13,273,0.0273
392,14,1150,0.115
392,15,3683,0.3683
392,16,7790,0.779
392,17,9727,0.9727
400,12,48,0.0048
400,13,223,0.0223
400,14,1018,0.1018
400,15,3414,0.3414
400,16,7827,0.7827
400,17,9717,0.9717
408,12,47,0.0047
408,13,185,0.0185
408,14,907,0.0907
408,15,3290,0.329
408,16,7691,0.7691
408,17,9711,0.9711
416,12,28,0.0028
416,13,151,0.0151
416,14,803,0.0803
416,15,3113,0.3113
416,16,7504,0.7504
416,17,9707,0.9707
424,12,29,0.0029
424,13,146,0.0146
424,14,682,0.0682
424,15,2782,0.2782
424,16,7406,0.7406
424,17,9705,0.9705
432,12,18,0.0018
432,13,80,0.008
432,14,542,0.0542
432,15,2587,0.2587
432,16,7256,0.7256
432,17,9650,0.965
440,12,18,0.0018
440,13,76,0.0076
440,14,474,0.0474
440,15,2244,0.2244
440,16,6920,0.692
440,17,9663,0.9663
448,12,8,8e-04
448,13,48,0.0048
448,14,370,0.037
448,15,2055,0.2055
448,16,6717,0.6717
448,17,9624,0.9624
456,12,15,0.0015
456,13,40,0.004
456,14,331,0.0331
456,15,1838,0.1838
456,16,6321,0.6321
456,17,9594,0.9594
464,12,8,8e-04
464,13,29,0.0029
464,14,206,0.0206
464,15,1554,0.1554
464,16,5766,0.5766
464,17,9585,0.9585
472,12,6,6e-04
472,13,24,0.0024
472,14,151,0.0151
472,15,1216,0.1216
472,16,5123,0.5123
472,17,9519,0.9519
480,12,4,4e-04
480,13,13,0.0013
480,14,109,0.0109
480,15,807,0.0807
480,16,4282,0.4282
480,17,9408,0.9408
488,12,3,3e-04
488,13,6,6e-04
488,14,56,0.0056
488,15,494,0.0494
488,16,3233,0.3233
488,17,9204,0.9204
496,12,3,3e-04
496,13,7,7e-04
496,14,32,0.0032
496,15,247,0.0247
496,16,1960,0.196
496,17,8364,0.8364
504,12,5,5e-04
504,13,5,5e-04
504,14,9,9e-04
504,15,85,0.0085
504,16,748,0.0748
504,17,6022,0.6022
