"slurm_task_id","replay_gen","count","frac_crossed"
1,1,4,0.004
2,5,7,0.007
3,9,7,0.007
4,13,7,0.007
5,17,7,0.007
6,21,11,0.011
7,25,7,0.007
8,29,3,0.003
9,33,7,0.007
11,41,11,0.011
12,45,7,0.007
13,49,6,0.006
14,53,4,0.004
15,57,8,0.008
16,61,19,0.019
17,65,17,0.017
18,69,4,0.004
19,73,9,0.009
20,77,13,0.013
21,81,2,0.002
22,85,6,0.006
23,89,10,0.01
24,93,4,0.004
25,97,12,0.012
26,101,9,0.009
27,105,9,0.009
28,109,7,0.007
29,113,19,0.019
30,117,13,0.013
31,121,10,0.01
32,125,21,0.021
33,129,20,0.02
34,133,15,0.015
35,137,30,0.03
36,141,39,0.039
37,145,47,0.047
38,149,28,0.028
39,153,39,0.039
40,157,35,0.035
41,161,36,0.036
42,165,42,0.042
43,169,39,0.039
44,173,46,0.046
45,177,23,0.023
46,181,27,0.027
47,185,42,0.042
48,189,40,0.04
49,193,26,0.026
50,197,31,0.031
51,201,28,0.028
52,205,32,0.032
53,209,34,0.034
54,213,37,0.037
55,217,26,0.026
56,221,32,0.032
57,225,38,0.038
58,229,24,0.024
59,233,36,0.036
60,237,47,0.047
61,241,32,0.032
62,245,77,0.077
63,249,75,0.075
64,253,57,0.057
65,257,49,0.049
66,261,34,0.034
67,265,32,0.032
68,269,28,0.028
69,273,34,0.034
70,277,35,0.035
71,281,25,0.025
72,285,35,0.035
73,289,31,0.031
74,293,30,0.03
75,297,28,0.028
76,301,25,0.025
77,305,29,0.029
78,309,25,0.025
79,313,33,0.033
80,317,26,0.026
81,321,23,0.023
82,325,19,0.019
83,329,20,0.02
84,333,26,0.026
85,337,22,0.022
86,341,16,0.016
87,345,20,0.02
88,349,18,0.018
89,353,14,0.014
90,357,33,0.033
91,361,49,0.049
92,365,33,0.033
93,369,36,0.036
94,373,18,0.018
95,377,15,0.015
96,381,20,0.02
97,385,26,0.026
98,389,15,0.015
99,393,10,0.01
100,397,11,0.011
101,401,10,0.01
102,405,13,0.013
103,409,14,0.014
104,413,8,0.008
105,417,13,0.013
106,421,5,0.005
107,425,9,0.009
108,429,5,0.005
109,433,5,0.005
110,437,2,0.002
111,441,8,0.008
112,445,5,0.005
113,449,5,0.005
114,453,8,0.008
115,457,6,0.006
116,461,4,0.004
117,465,6,0.006
118,469,1,0.001
119,473,13,0.013
120,477,14,0.014
121,481,12,0.012
122,485,8,0.008
123,489,13,0.013
124,493,8,0.008
125,497,9,0.009
126,501,9,0.009
127,505,8,0.008
128,509,10,0.01
129,513,8,0.008
130,517,7,0.007
131,521,4,0.004
132,525,9,0.009
133,529,10,0.01
134,533,11,0.011
135,537,9,0.009
136,541,9,0.009
137,545,14,0.014
138,549,11,0.011
139,553,30,0.03
140,557,27,0.027
141,561,30,0.03
142,565,24,0.024
143,569,24,0.024
144,573,24,0.024
145,577,24,0.024
146,581,22,0.022
147,585,14,0.014
148,589,20,0.02
149,593,20,0.02
150,597,15,0.015
151,601,16,0.016
152,605,10,0.01
153,609,8,0.008
154,613,9,0.009
155,617,14,0.014
156,621,8,0.008
157,625,10,0.01
158,629,10,0.01
159,633,5,0.005
160,637,7,0.007
161,641,6,0.006
162,645,6,0.006
163,649,5,0.005
164,653,1,0.001
165,657,1,0.001
166,661,2,0.002
167,665,2,0.002
169,673,2,0.002
170,677,1,0.001
171,681,6,0.006
172,685,2,0.002
173,689,2,0.002
175,697,7,0.007
176,701,1,0.001
182,725,1,0.001
191,761,1,0.001
