"slurm_task_id","replay_gen","count","frac_crossed"
1,1,4,0.004
2,5,7,0.007
3,9,7,0.007
4,13,8,0.008
5,17,7,0.007
6,21,7,0.007
7,25,9,0.009
8,29,3,0.003
9,33,8,0.008
10,37,4,0.004
11,41,13,0.013
12,45,10,0.01
13,49,13,0.013
14,53,5,0.005
15,57,8,0.008
16,61,14,0.014
17,65,15,0.015
18,69,5,0.005
19,73,11,0.011
20,77,13,0.013
21,81,12,0.012
22,85,5,0.005
23,89,8,0.008
24,93,5,0.005
25,97,6,0.006
26,101,8,0.008
27,105,9,0.009
28,109,2,0.002
29,113,1,0.001
30,117,2,0.002
31,121,2,0.002
32,125,4,0.004
33,129,4,0.004
34,133,2,0.002
35,137,2,0.002
36,141,2,0.002
37,145,3,0.003
38,149,4,0.004
40,157,9,0.009
41,161,2,0.002
42,165,2,0.002
43,169,4,0.004
44,173,2,0.002
45,177,2,0.002
46,181,2,0.002
47,185,1,0.001
49,193,2,0.002
50,197,2,0.002
52,205,2,0.002
53,209,1,0.001
54,213,3,0.003
55,217,3,0.003
56,221,2,0.002
57,225,3,0.003
60,237,3,0.003
61,241,4,0.004
62,245,3,0.003
63,249,1,0.001
64,253,6,0.006
65,257,3,0.003
66,261,4,0.004
67,265,3,0.003
69,273,1,0.001
70,277,4,0.004
72,285,2,0.002
73,289,6,0.006
74,293,8,0.008
75,297,5,0.005
76,301,2,0.002
77,305,9,0.009
78,309,8,0.008
79,313,4,0.004
80,317,4,0.004
81,321,7,0.007
82,325,3,0.003
83,329,3,0.003
84,333,2,0.002
85,337,5,0.005
86,341,7,0.007
87,345,7,0.007
88,349,11,0.011
89,353,19,0.019
90,357,13,0.013
91,361,14,0.014
92,365,8,0.008
93,369,15,0.015
94,373,11,0.011
95,377,11,0.011
96,381,14,0.014
97,385,16,0.016
98,389,12,0.012
99,393,11,0.011
100,397,10,0.01
101,401,7,0.007
102,405,6,0.006
103,409,8,0.008
104,413,9,0.009
105,417,5,0.005
106,421,5,0.005
107,425,4,0.004
108,429,5,0.005
109,433,6,0.006
110,437,5,0.005
111,441,3,0.003
112,445,5,0.005
113,449,3,0.003
114,453,1,0.001
115,457,4,0.004
116,461,6,0.006
117,465,2,0.002
119,473,6,0.006
120,477,1,0.001
121,481,4,0.004
122,485,2,0.002
123,489,3,0.003
125,497,1,0.001
126,501,1,0.001
128,509,1,0.001
129,513,2,0.002
130,517,2,0.002
132,525,1,0.001
