"slurm_task_id","replay_gen","count","frac_crossed"
1,1,214,0.214
2,5,181,0.181
3,9,183,0.183
4,13,191,0.191
5,17,154,0.154
6,21,166,0.166
7,25,159,0.159
8,29,155,0.155
9,33,150,0.15
10,37,171,0.171
11,41,159,0.159
12,45,154,0.154
13,49,149,0.149
14,53,165,0.165
15,57,157,0.157
16,61,121,0.121
17,65,143,0.143
18,69,151,0.151
19,73,144,0.144
20,77,159,0.159
21,81,151,0.151
22,85,120,0.12
23,89,133,0.133
24,93,120,0.12
25,97,146,0.146
26,101,136,0.136
27,105,117,0.117
28,109,122,0.122
29,113,136,0.136
30,117,198,0.198
31,121,208,0.208
32,125,198,0.198
33,129,220,0.22
34,133,190,0.19
35,137,199,0.199
36,141,155,0.155
37,145,212,0.212
38,149,195,0.195
39,153,184,0.184
40,157,188,0.188
41,161,175,0.175
42,165,95,0.095
43,169,106,0.106
44,173,106,0.106
45,177,90,0.09
46,181,114,0.114
47,185,91,0.091
48,189,89,0.089
49,193,97,0.097
50,197,105,0.105
51,201,82,0.082
52,205,92,0.092
53,209,81,0.081
54,213,97,0.097
55,217,100,0.1
56,221,77,0.077
57,225,86,0.086
58,229,81,0.081
59,233,81,0.081
60,237,70,0.07
61,241,74,0.074
62,245,82,0.082
63,249,80,0.08
64,253,70,0.07
65,257,69,0.069
66,261,55,0.055
67,265,68,0.068
68,269,56,0.056
69,273,65,0.065
70,277,57,0.057
71,281,54,0.054
72,285,61,0.061
73,289,71,0.071
74,293,62,0.062
75,297,48,0.048
76,301,54,0.054
77,305,41,0.041
78,309,53,0.053
79,313,50,0.05
80,317,47,0.047
81,321,41,0.041
82,325,49,0.049
83,329,37,0.037
84,333,40,0.04
85,337,32,0.032
86,341,39,0.039
87,345,41,0.041
88,349,33,0.033
89,353,34,0.034
90,357,38,0.038
91,361,26,0.026
92,365,24,0.024
93,369,24,0.024
94,373,30,0.03
95,377,26,0.026
96,381,25,0.025
97,385,23,0.023
98,389,23,0.023
99,393,17,0.017
100,397,12,0.012
101,401,22,0.022
102,405,15,0.015
103,409,22,0.022
104,413,40,0.04
105,417,31,0.031
106,421,43,0.043
107,425,51,0.051
108,429,32,0.032
109,433,48,0.048
110,437,34,0.034
111,441,27,0.027
112,445,49,0.049
113,449,34,0.034
114,453,29,0.029
115,457,45,0.045
116,461,37,0.037
117,465,24,0.024
118,469,25,0.025
119,473,26,0.026
120,477,27,0.027
121,481,23,0.023
122,485,33,0.033
123,489,18,0.018
124,493,13,0.013
125,497,23,0.023
126,501,28,0.028
127,505,18,0.018
128,509,19,0.019
129,513,14,0.014
130,517,11,0.011
131,521,16,0.016
132,525,9,0.009
133,529,1,0.001
134,533,1,0.001
135,537,1,0.001
136,541,4,0.004
137,545,3,0.003
138,549,1,0.001
140,557,1,0.001
142,565,1,0.001
145,577,1,0.001
147,585,1,0.001
152,605,1,0.001
157,625,1,0.001
159,633,1,0.001
161,641,1,0.001
162,645,1,0.001
163,649,2,0.002
164,653,2,0.002
165,657,1,0.001
166,661,1,0.001
167,665,1,0.001
177,705,1,0.001
181,721,1,0.001
