"slurm_task_id","replay_gen","count","frac_crossed"
1,1,214,0.214
2,5,173,0.173
3,9,198,0.198
4,13,181,0.181
5,17,146,0.146
6,21,179,0.179
7,25,160,0.16
8,29,153,0.153
9,33,135,0.135
10,37,166,0.166
11,41,223,0.223
12,45,222,0.222
13,49,225,0.225
14,53,241,0.241
15,57,341,0.341
16,61,368,0.368
17,65,393,0.393
18,69,391,0.391
19,73,358,0.358
20,77,375,0.375
21,81,374,0.374
22,85,647,0.647
23,89,617,0.617
24,93,605,0.605
25,97,625,0.625
26,101,636,0.636
27,105,642,0.642
28,109,648,0.648
29,113,632,0.632
30,117,637,0.637
31,121,594,0.594
32,125,649,0.649
33,129,639,0.639
34,133,647,0.647
35,137,643,0.643
36,141,623,0.623
37,145,682,0.682
38,149,619,0.619
39,153,633,0.633
40,157,636,0.636
41,161,620,0.62
42,165,651,0.651
43,169,601,0.601
44,173,623,0.623
45,177,622,0.622
46,181,637,0.637
47,185,590,0.59
48,189,576,0.576
49,193,659,0.659
50,197,614,0.614
51,201,604,0.604
52,205,604,0.604
53,209,619,0.619
54,213,612,0.612
55,217,623,0.623
56,221,608,0.608
57,225,600,0.6
58,229,653,0.653
59,233,603,0.603
60,237,612,0.612
61,241,596,0.596
62,245,627,0.627
63,249,614,0.614
64,253,613,0.613
65,257,578,0.578
66,261,594,0.594
67,265,605,0.605
68,269,628,0.628
69,273,590,0.59
70,277,594,0.594
71,281,580,0.58
72,285,614,0.614
73,289,591,0.591
74,293,573,0.573
75,297,569,0.569
76,301,605,0.605
77,305,568,0.568
78,309,584,0.584
79,313,593,0.593
80,317,602,0.602
81,321,563,0.563
82,325,588,0.588
83,329,554,0.554
84,333,549,0.549
85,337,558,0.558
86,341,554,0.554
87,345,595,0.595
88,349,567,0.567
89,353,594,0.594
90,357,581,0.581
91,361,576,0.576
92,365,546,0.546
93,369,533,0.533
94,373,544,0.544
95,377,553,0.553
96,381,527,0.527
97,385,558,0.558
98,389,527,0.527
99,393,519,0.519
100,397,528,0.528
101,401,484,0.484
102,405,481,0.481
103,409,504,0.504
104,413,531,0.531
105,417,487,0.487
106,421,479,0.479
107,425,495,0.495
108,429,486,0.486
109,433,794,0.794
110,437,843,0.843
111,441,886,0.886
112,445,916,0.916
113,449,937,0.937
114,453,935,0.935
115,457,942,0.942
116,461,930,0.93
117,465,924,0.924
118,469,917,0.917
119,473,938,0.938
120,477,919,0.919
121,481,954,0.954
122,485,957,0.957
123,489,958,0.958
124,493,1000,1
125,497,1000,1
126,501,1000,1
127,505,1000,1
128,509,1000,1
129,513,1000,1
130,517,1000,1
131,521,1000,1
132,525,1000,1
133,529,1000,1
134,533,1000,1
135,537,1000,1
136,541,1000,1
137,545,1000,1
138,549,1000,1
139,553,1000,1
140,557,1000,1
141,561,1000,1
142,565,1000,1
143,569,1000,1
144,573,1000,1
145,577,1000,1
146,581,1000,1
147,585,1000,1
148,589,1000,1
149,593,1000,1
150,597,1000,1
151,601,1000,1
152,605,1000,1
153,609,1000,1
154,613,1000,1
155,617,1000,1
156,621,1000,1
157,625,1000,1
158,629,1000,1
159,633,1000,1
160,637,1000,1
161,641,1000,1
162,645,1000,1
163,649,1000,1
164,653,1000,1
165,657,1000,1
166,661,1000,1
167,665,1000,1
168,669,1000,1
169,673,1000,1
170,677,1000,1
171,681,1000,1
172,685,1000,1
173,689,1000,1
174,693,1000,1
175,697,1000,1
176,701,1000,1
177,705,1000,1
178,709,1000,1
179,713,1000,1
180,717,1000,1
181,721,1000,1
182,725,1000,1
183,729,1000,1
184,733,1000,1
185,737,1000,1
186,741,1000,1
187,745,1000,1
188,749,1000,1
189,753,1000,1
190,757,1000,1
191,761,1000,1
192,765,1000,1
