"slurm_task_id","replay_gen","count","frac_crossed"
1,1,214,0.214
2,5,174,0.174
3,9,199,0.199
4,13,180,0.18
5,17,154,0.154
6,21,174,0.174
7,25,162,0.162
8,29,152,0.152
9,33,135,0.135
10,37,165,0.165
11,41,224,0.224
12,45,218,0.218
13,49,220,0.22
14,53,235,0.235
15,57,232,0.232
16,61,216,0.216
17,65,223,0.223
18,69,219,0.219
19,73,235,0.235
20,77,213,0.213
21,81,217,0.217
22,85,185,0.185
23,89,202,0.202
24,93,194,0.194
25,97,205,0.205
26,101,209,0.209
27,105,209,0.209
28,109,121,0.121
29,113,117,0.117
30,117,142,0.142
31,121,111,0.111
32,125,141,0.141
33,129,140,0.14
34,133,123,0.123
35,137,119,0.119
36,141,82,0.082
37,145,119,0.119
38,149,101,0.101
39,153,114,0.114
40,157,151,0.151
41,161,97,0.097
42,165,98,0.098
43,169,114,0.114
44,173,100,0.1
45,177,94,0.094
46,181,80,0.08
47,185,84,0.084
48,189,72,0.072
49,193,72,0.072
50,197,80,0.08
51,201,77,0.077
52,205,77,0.077
53,209,85,0.085
54,213,65,0.065
55,217,81,0.081
56,221,86,0.086
57,225,73,0.073
58,229,71,0.071
59,233,63,0.063
60,237,75,0.075
61,241,125,0.125
62,245,136,0.136
63,249,143,0.143
64,253,125,0.125
65,257,128,0.128
66,261,106,0.106
67,265,120,0.12
68,269,113,0.113
69,273,106,0.106
70,277,92,0.092
71,281,107,0.107
72,285,108,0.108
73,289,257,0.257
74,293,262,0.262
75,297,287,0.287
76,301,239,0.239
77,305,241,0.241
78,309,253,0.253
79,313,268,0.268
80,317,264,0.264
81,321,276,0.276
82,325,229,0.229
83,329,255,0.255
84,333,238,0.238
85,337,228,0.228
86,341,236,0.236
87,345,443,0.443
88,349,503,0.503
89,353,499,0.499
90,357,520,0.52
91,361,530,0.53
92,365,489,0.489
93,369,518,0.518
94,373,523,0.523
95,377,517,0.517
96,381,527,0.527
97,385,530,0.53
98,389,515,0.515
99,393,512,0.512
100,397,529,0.529
101,401,490,0.49
102,405,226,0.226
103,409,239,0.239
104,413,209,0.209
105,417,215,0.215
106,421,216,0.216
107,425,219,0.219
108,429,206,0.206
109,433,184,0.184
110,437,442,0.442
111,441,420,0.42
112,445,438,0.438
113,449,450,0.45
114,453,423,0.423
115,457,400,0.4
116,461,402,0.402
117,465,360,0.36
118,469,360,0.36
119,473,371,0.371
120,477,372,0.372
121,481,348,0.348
122,485,358,0.358
123,489,350,0.35
124,493,347,0.347
125,497,347,0.347
126,501,325,0.325
127,505,341,0.341
128,509,374,0.374
129,513,322,0.322
130,517,341,0.341
131,521,324,0.324
132,525,271,0.271
133,529,212,0.212
134,533,62,0.062
135,537,57,0.057
136,541,58,0.058
137,545,40,0.04
138,549,25,0.025
139,553,37,0.037
140,557,37,0.037
141,561,27,0.027
142,565,19,0.019
143,569,27,0.027
144,573,12,0.012
145,577,12,0.012
146,581,13,0.013
147,585,13,0.013
148,589,15,0.015
149,593,9,0.009
150,597,8,0.008
151,601,7,0.007
152,605,12,0.012
153,609,8,0.008
154,613,8,0.008
155,617,7,0.007
157,625,1,0.001
158,629,7,0.007
159,633,2,0.002
160,637,5,0.005
161,641,1,0.001
162,645,4,0.004
163,649,6,0.006
164,653,8,0.008
165,657,8,0.008
166,661,2,0.002
167,665,4,0.004
168,669,9,0.009
169,673,14,0.014
170,677,10,0.01
171,681,16,0.016
172,685,21,0.021
173,689,32,0.032
174,693,19,0.019
175,697,8,0.008
176,701,3,0.003
177,705,1,0.001
181,721,1,0.001
