"slurm_task_id","replay_gen","count","frac_crossed"
1,1,4,0.004
2,5,7,0.007
3,9,7,0.007
4,13,7,0.007
5,17,7,0.007
6,21,17,0.017
7,25,16,0.016
8,29,13,0.013
9,33,15,0.015
10,37,10,0.01
11,41,12,0.012
12,45,11,0.011
13,49,12,0.012
14,53,3,0.003
15,57,11,0.011
16,61,13,0.013
17,65,15,0.015
18,69,5,0.005
19,73,11,0.011
20,77,14,0.014
21,81,11,0.011
22,85,6,0.006
23,89,13,0.013
24,93,13,0.013
25,97,22,0.022
26,101,23,0.023
27,105,10,0.01
28,109,19,0.019
29,113,23,0.023
30,117,10,0.01
31,121,15,0.015
32,125,12,0.012
33,129,31,0.031
34,133,22,0.022
35,137,9,0.009
36,141,5,0.005
37,145,18,0.018
38,149,10,0.01
39,153,14,0.014
40,157,19,0.019
41,161,11,0.011
42,165,25,0.025
43,169,21,0.021
44,173,17,0.017
45,177,15,0.015
46,181,15,0.015
47,185,20,0.02
48,189,16,0.016
49,193,13,0.013
50,197,9,0.009
51,201,15,0.015
52,205,15,0.015
53,209,12,0.012
54,213,15,0.015
55,217,8,0.008
56,221,12,0.012
57,225,6,0.006
58,229,14,0.014
59,233,29,0.029
60,237,29,0.029
61,241,28,0.028
62,245,34,0.034
63,249,36,0.036
64,253,28,0.028
65,257,27,0.027
66,261,25,0.025
67,265,32,0.032
68,269,33,0.033
69,273,32,0.032
70,277,66,0.066
71,281,46,0.046
72,285,79,0.079
73,289,70,0.07
74,293,72,0.072
75,297,76,0.076
76,301,75,0.075
77,305,74,0.074
78,309,60,0.06
79,313,79,0.079
80,317,65,0.065
81,321,85,0.085
82,325,73,0.073
83,329,62,0.062
84,333,73,0.073
85,337,69,0.069
86,341,59,0.059
87,345,57,0.057
88,349,57,0.057
89,353,71,0.071
90,357,60,0.06
91,361,46,0.046
92,365,49,0.049
93,369,55,0.055
94,373,53,0.053
95,377,42,0.042
96,381,35,0.035
97,385,42,0.042
98,389,40,0.04
99,393,30,0.03
100,397,36,0.036
101,401,28,0.028
102,405,38,0.038
103,409,21,0.021
104,413,23,0.023
105,417,25,0.025
106,421,33,0.033
107,425,21,0.021
108,429,21,0.021
109,433,30,0.03
110,437,18,0.018
111,441,19,0.019
112,445,14,0.014
113,449,127,0.127
114,453,122,0.122
115,457,116,0.116
116,461,114,0.114
117,465,116,0.116
118,469,133,0.133
119,473,127,0.127
120,477,131,0.131
121,481,121,0.121
122,485,101,0.101
123,489,104,0.104
124,493,33,0.033
125,497,36,0.036
126,501,29,0.029
127,505,30,0.03
128,509,18,0.018
129,513,23,0.023
130,517,21,0.021
131,521,13,0.013
132,525,12,0.012
133,529,12,0.012
134,533,11,0.011
135,537,9,0.009
136,541,12,0.012
137,545,7,0.007
138,549,11,0.011
139,553,6,0.006
140,557,7,0.007
141,561,2,0.002
142,565,2,0.002
143,569,2,0.002
144,573,1,0.001
145,577,1,0.001
146,581,1,0.001
147,585,2,0.002
148,589,1,0.001
149,593,1,0.001
150,597,5,0.005
151,601,3,0.003
152,605,2,0.002
153,609,5,0.005
154,613,2,0.002
155,617,5,0.005
156,621,1,0.001
158,629,3,0.003
159,633,3,0.003
160,637,3,0.003
162,645,1,0.001
163,649,3,0.003
164,653,2,0.002
167,665,1,0.001
170,677,1,0.001
171,681,1,0.001
172,685,1,0.001
173,689,1,0.001
174,693,2,0.002
175,697,2,0.002
176,701,2,0.002
177,705,2,0.002
178,709,1,0.001
179,713,1,0.001
186,741,1,0.001
187,745,1,0.001
189,753,3,0.003
