"slurm_task_id","replay_gen","count","frac_crossed"
1,1,214,0.214
2,5,175,0.175
3,9,198,0.198
4,13,191,0.191
5,17,166,0.166
6,21,161,0.161
7,25,157,0.157
8,29,149,0.149
9,33,148,0.148
10,37,171,0.171
11,41,161,0.161
12,45,148,0.148
13,49,150,0.15
14,53,159,0.159
15,57,160,0.16
16,61,134,0.134
17,65,144,0.144
18,69,143,0.143
19,73,137,0.137
20,77,154,0.154
21,81,148,0.148
22,85,118,0.118
23,89,138,0.138
24,93,114,0.114
25,97,147,0.147
26,101,140,0.14
27,105,123,0.123
28,109,118,0.118
29,113,132,0.132
30,117,131,0.131
31,121,129,0.129
32,125,110,0.11
33,129,121,0.121
34,133,108,0.108
35,137,118,0.118
36,141,103,0.103
37,145,107,0.107
38,149,126,0.126
39,153,104,0.104
40,157,184,0.184
41,161,188,0.188
42,165,177,0.177
43,169,198,0.198
44,173,182,0.182
45,177,170,0.17
46,181,177,0.177
47,185,167,0.167
48,189,185,0.185
49,193,166,0.166
50,197,174,0.174
51,201,170,0.17
52,205,159,0.159
53,209,161,0.161
54,213,169,0.169
55,217,149,0.149
56,221,149,0.149
57,225,143,0.143
58,229,97,0.097
59,233,77,0.077
60,237,66,0.066
61,241,77,0.077
62,245,78,0.078
63,249,77,0.077
64,253,64,0.064
65,257,111,0.111
66,261,135,0.135
67,265,136,0.136
68,269,127,0.127
69,273,145,0.145
70,277,115,0.115
71,281,252,0.252
72,285,307,0.307
73,289,293,0.293
74,293,268,0.268
75,297,273,0.273
76,301,298,0.298
77,305,285,0.285
78,309,296,0.296
79,313,252,0.252
80,317,256,0.256
81,321,280,0.28
82,325,283,0.283
83,329,250,0.25
84,333,533,0.533
85,337,537,0.537
86,341,546,0.546
87,345,544,0.544
88,349,539,0.539
89,353,565,0.565
90,357,566,0.566
91,361,539,0.539
92,365,558,0.558
93,369,579,0.579
94,373,570,0.57
95,377,549,0.549
96,381,551,0.551
97,385,570,0.57
98,389,556,0.556
99,393,574,0.574
100,397,503,0.503
101,401,548,0.548
102,405,537,0.537
103,409,517,0.517
104,413,494,0.494
105,417,492,0.492
106,421,549,0.549
107,425,517,0.517
108,429,522,0.522
109,433,562,0.562
110,437,1000,1
111,441,1000,1
112,445,1000,1
113,449,1000,1
114,453,1000,1
115,457,1000,1
116,461,1000,1
117,465,1000,1
118,469,1000,1
119,473,1000,1
120,477,1000,1
121,481,1000,1
122,485,1000,1
123,489,1000,1
124,493,1000,1
125,497,1000,1
126,501,1000,1
127,505,1000,1
128,509,1000,1
129,513,1000,1
130,517,1000,1
131,521,1000,1
132,525,1000,1
133,529,1000,1
134,533,1000,1
135,537,1000,1
136,541,1000,1
137,545,1000,1
138,549,1000,1
139,553,1000,1
140,557,1000,1
141,561,1000,1
142,565,1000,1
143,569,1000,1
144,573,1000,1
145,577,1000,1
146,581,1000,1
147,585,1000,1
148,589,1000,1
149,593,1000,1
150,597,1000,1
151,601,1000,1
152,605,1000,1
153,609,1000,1
154,613,1000,1
155,617,1000,1
156,621,1000,1
157,625,1000,1
158,629,1000,1
159,633,1000,1
160,637,1000,1
161,641,1000,1
162,645,1000,1
163,649,1000,1
164,653,1000,1
165,657,1000,1
166,661,1000,1
167,665,1000,1
168,669,1000,1
169,673,1000,1
170,677,1000,1
171,681,1000,1
172,685,1000,1
173,689,1000,1
174,693,1000,1
175,697,1000,1
176,701,1000,1
177,705,1000,1
178,709,1000,1
179,713,1000,1
180,717,1000,1
181,721,1000,1
182,725,1000,1
183,729,1000,1
184,733,1000,1
185,737,1000,1
186,741,1000,1
187,745,1000,1
188,749,1000,1
189,753,1000,1
190,757,1000,1
191,761,1000,1
192,765,1000,1
