"slurm_task_id","replay_gen","count","frac_crossed"
1,1,4,0.004
2,5,7,0.007
3,9,7,0.007
4,13,8,0.008
5,17,8,0.008
6,21,8,0.008
7,25,4,0.004
8,29,3,0.003
9,33,6,0.006
11,41,6,0.006
12,45,5,0.005
13,49,6,0.006
14,53,3,0.003
15,57,3,0.003
16,61,5,0.005
17,65,6,0.006
18,69,3,0.003
19,73,6,0.006
20,77,3,0.003
21,81,2,0.002
22,85,3,0.003
23,89,2,0.002
24,93,3,0.003
25,97,4,0.004
26,101,5,0.005
27,105,5,0.005
28,109,5,0.005
29,113,3,0.003
30,117,1,0.001
32,125,2,0.002
33,129,2,0.002
34,133,3,0.003
35,137,2,0.002
36,141,1,0.001
37,145,2,0.002
38,149,2,0.002
39,153,3,0.003
40,157,2,0.002
41,161,3,0.003
42,165,3,0.003
43,169,2,0.002
44,173,1,0.001
46,181,1,0.001
47,185,2,0.002
48,189,3,0.003
49,193,4,0.004
50,197,2,0.002
51,201,4,0.004
52,205,3,0.003
53,209,6,0.006
54,213,5,0.005
55,217,3,0.003
56,221,3,0.003
57,225,4,0.004
58,229,3,0.003
59,233,2,0.002
60,237,1,0.001
61,241,1,0.001
62,245,3,0.003
64,253,5,0.005
65,257,3,0.003
66,261,6,0.006
69,273,1,0.001
72,285,1,0.001
73,289,1,0.001
76,301,2,0.002
79,313,2,0.002
80,317,1,0.001
82,325,1,0.001
84,333,1,0.001
86,341,1,0.001
92,365,1,0.001
95,377,1,0.001
106,421,1,0.001
116,461,1,0.001
