"slurm_task_id","replay_gen","count","frac_crossed"
1,1,4,0.004
2,5,7,0.007
3,9,7,0.007
4,13,8,0.008
5,17,12,0.012
6,21,15,0.015
7,25,15,0.015
8,29,15,0.015
9,33,12,0.012
10,37,10,0.01
11,41,12,0.012
12,45,9,0.009
13,49,15,0.015
14,53,7,0.007
15,57,8,0.008
16,61,8,0.008
17,65,8,0.008
18,69,11,0.011
19,73,5,0.005
20,77,9,0.009
21,81,7,0.007
22,85,7,0.007
23,89,7,0.007
24,93,2,0.002
25,97,12,0.012
26,101,3,0.003
27,105,10,0.01
28,109,8,0.008
29,113,10,0.01
30,117,9,0.009
31,121,3,0.003
32,125,9,0.009
33,129,6,0.006
34,133,7,0.007
35,137,6,0.006
36,141,5,0.005
37,145,5,0.005
38,149,11,0.011
39,153,2,0.002
40,157,1,0.001
41,161,1,0.001
42,165,2,0.002
43,169,2,0.002
44,173,1,0.001
45,177,1,0.001
46,181,1,0.001
47,185,3,0.003
48,189,2,0.002
49,193,1,0.001
50,197,2,0.002
51,201,3,0.003
52,205,4,0.004
55,217,1,0.001
56,221,1,0.001
57,225,2,0.002
58,229,1,0.001
59,233,3,0.003
60,237,2,0.002
61,241,2,0.002
63,249,1,0.001
64,253,2,0.002
65,257,1,0.001
66,261,4,0.004
67,265,2,0.002
68,269,3,0.003
69,273,6,0.006
70,277,8,0.008
71,281,3,0.003
72,285,3,0.003
73,289,6,0.006
74,293,7,0.007
75,297,5,0.005
76,301,3,0.003
77,305,7,0.007
78,309,2,0.002
79,313,2,0.002
80,317,4,0.004
81,321,5,0.005
82,325,3,0.003
84,333,2,0.002
85,337,1,0.001
86,341,3,0.003
92,365,1,0.001
95,377,1,0.001
96,381,1,0.001
98,389,1,0.001
100,397,1,0.001
102,405,1,0.001
105,417,1,0.001
112,445,2,0.002
142,565,1,0.001
147,585,1,0.001
158,629,1,0.001
159,633,2,0.002
162,645,1,0.001
163,649,2,0.002
165,657,1,0.001
166,661,1,0.001
167,665,1,0.001
176,701,4,0.004
177,705,2,0.002
178,709,1,0.001
184,733,1,0.001
