"slurm_task_id","replay_gen","count","frac_crossed"
1,1,213,0.213
2,5,175,0.175
3,9,200,0.2
4,13,181,0.181
5,17,144,0.144
6,21,173,0.173
7,25,158,0.158
8,29,155,0.155
9,33,129,0.129
10,37,164,0.164
11,41,164,0.164
12,45,141,0.141
13,49,156,0.156
14,53,149,0.149
15,57,218,0.218
16,61,224,0.224
17,65,202,0.202
18,69,220,0.22
19,73,210,0.21
20,77,205,0.205
21,81,224,0.224
22,85,194,0.194
23,89,190,0.19
24,93,210,0.21
25,97,203,0.203
26,101,215,0.215
27,105,199,0.199
28,109,184,0.184
29,113,200,0.2
30,117,216,0.216
31,121,174,0.174
32,125,205,0.205
33,129,371,0.371
34,133,358,0.358
35,137,374,0.374
36,141,319,0.319
37,145,370,0.37
38,149,349,0.349
39,153,332,0.332
40,157,358,0.358
41,161,338,0.338
42,165,320,0.32
43,169,214,0.214
44,173,173,0.173
45,177,161,0.161
46,181,96,0.096
47,185,100,0.1
48,189,70,0.07
49,193,78,0.078
50,197,83,0.083
51,201,73,0.073
52,205,93,0.093
53,209,89,0.089
54,213,63,0.063
55,217,84,0.084
56,221,84,0.084
57,225,66,0.066
58,229,62,0.062
59,233,56,0.056
60,237,66,0.066
61,241,68,0.068
62,245,73,0.073
63,249,73,0.073
64,253,60,0.06
65,257,54,0.054
66,261,57,0.057
67,265,54,0.054
68,269,50,0.05
69,273,42,0.042
70,277,45,0.045
71,281,42,0.042
72,285,54,0.054
73,289,40,0.04
74,293,46,0.046
75,297,51,0.051
76,301,35,0.035
77,305,45,0.045
78,309,96,0.096
79,313,82,0.082
80,317,85,0.085
81,321,97,0.097
82,325,90,0.09
83,329,83,0.083
84,333,79,0.079
85,337,75,0.075
86,341,71,0.071
87,345,77,0.077
88,349,63,0.063
89,353,59,0.059
90,357,79,0.079
91,361,70,0.07
92,365,67,0.067
93,369,71,0.071
94,373,77,0.077
95,377,64,0.064
96,381,51,0.051
97,385,63,0.063
98,389,191,0.191
99,393,196,0.196
100,397,179,0.179
101,401,192,0.192
102,405,155,0.155
103,409,150,0.15
104,413,146,0.146
105,417,153,0.153
106,421,164,0.164
107,425,176,0.176
108,429,150,0.15
109,433,136,0.136
110,437,160,0.16
111,441,135,0.135
112,445,153,0.153
113,449,142,0.142
114,453,149,0.149
115,457,140,0.14
116,461,130,0.13
117,465,113,0.113
118,469,110,0.11
119,473,94,0.094
120,477,310,0.31
121,481,356,0.356
122,485,348,0.348
123,489,341,0.341
124,493,369,0.369
125,497,307,0.307
126,501,335,0.335
127,505,344,0.344
128,509,350,0.35
129,513,357,0.357
130,517,420,0.42
131,521,314,0.314
132,525,297,0.297
133,529,257,0.257
134,533,263,0.263
135,537,264,0.264
136,541,263,0.263
137,545,268,0.268
138,549,235,0.235
139,553,229,0.229
140,557,206,0.206
141,561,234,0.234
142,565,213,0.213
143,569,171,0.171
144,573,178,0.178
145,577,162,0.162
146,581,157,0.157
147,585,111,0.111
148,589,97,0.097
149,593,97,0.097
150,597,128,0.128
151,601,105,0.105
152,605,212,0.212
153,609,148,0.148
154,613,124,0.124
155,617,103,0.103
156,621,90,0.09
157,625,112,0.112
158,629,92,0.092
159,633,61,0.061
160,637,76,0.076
161,641,76,0.076
162,645,37,0.037
163,649,57,0.057
164,653,88,0.088
165,657,51,0.051
166,661,36,0.036
167,665,21,0.021
168,669,14,0.014
169,673,19,0.019
170,677,17,0.017
171,681,20,0.02
172,685,30,0.03
173,689,46,0.046
174,693,153,0.153
175,697,141,0.141
176,701,1000,1
177,705,1000,1
178,709,1000,1
179,713,1000,1
180,717,1000,1
181,721,1000,1
182,725,1000,1
183,729,1000,1
184,733,1000,1
185,737,1000,1
186,741,1000,1
187,745,999,0.999
188,749,1000,1
189,753,1000,1
190,757,1000,1
191,761,1000,1
192,765,1000,1
