"slurm_task_id","replay_gen","count","frac_crossed"
1,1,214,0.214
2,5,182,0.182
3,9,187,0.187
4,13,183,0.183
5,17,144,0.144
6,21,176,0.176
7,25,160,0.16
8,29,153,0.153
9,33,140,0.14
10,37,168,0.168
11,41,168,0.168
12,45,149,0.149
13,49,146,0.146
14,53,161,0.161
15,57,146,0.146
16,61,132,0.132
17,65,131,0.131
18,69,144,0.144
19,73,157,0.157
20,77,137,0.137
21,81,143,0.143
22,85,140,0.14
23,89,134,0.134
24,93,138,0.138
25,97,145,0.145
26,101,122,0.122
27,105,136,0.136
28,109,119,0.119
29,113,113,0.113
30,117,132,0.132
31,121,113,0.113
32,125,114,0.114
33,129,131,0.131
34,133,107,0.107
35,137,125,0.125
36,141,95,0.095
37,145,123,0.123
38,149,106,0.106
39,153,106,0.106
40,157,105,0.105
41,161,110,0.11
42,165,103,0.103
43,169,99,0.099
44,173,92,0.092
45,177,92,0.092
46,181,82,0.082
47,185,89,0.089
48,189,73,0.073
49,193,75,0.075
50,197,85,0.085
51,201,78,0.078
52,205,78,0.078
53,209,83,0.083
54,213,66,0.066
55,217,84,0.084
56,221,74,0.074
57,225,68,0.068
58,229,72,0.072
59,233,58,0.058
60,237,64,0.064
61,241,68,0.068
62,245,85,0.085
63,249,74,0.074
64,253,63,0.063
65,257,113,0.113
66,261,108,0.108
67,265,123,0.123
68,269,118,0.118
69,273,102,0.102
70,277,92,0.092
71,281,102,0.102
72,285,108,0.108
73,289,105,0.105
74,293,96,0.096
75,297,106,0.106
76,301,86,0.086
77,305,111,0.111
78,309,93,0.093
79,313,99,0.099
80,317,104,0.104
81,321,101,0.101
82,325,100,0.1
83,329,99,0.099
84,333,102,0.102
85,337,93,0.093
86,341,79,0.079
87,345,77,0.077
88,349,94,0.094
89,353,67,0.067
90,357,77,0.077
91,361,79,0.079
92,365,75,0.075
93,369,87,0.087
94,373,81,0.081
95,377,59,0.059
96,381,60,0.06
97,385,49,0.049
98,389,74,0.074
99,393,53,0.053
100,397,53,0.053
101,401,59,0.059
102,405,54,0.054
103,409,47,0.047
104,413,42,0.042
105,417,40,0.04
106,421,41,0.041
107,425,56,0.056
108,429,47,0.047
109,433,40,0.04
110,437,42,0.042
111,441,41,0.041
112,445,29,0.029
113,449,41,0.041
114,453,29,0.029
115,457,22,0.022
116,461,132,0.132
117,465,111,0.111
118,469,121,0.121
119,473,98,0.098
120,477,89,0.089
121,481,106,0.106
122,485,285,0.285
123,489,337,0.337
124,493,345,0.345
125,497,333,0.333
126,501,324,0.324
127,505,328,0.328
128,509,327,0.327
129,513,330,0.33
130,517,296,0.296
131,521,316,0.316
132,525,309,0.309
133,529,253,0.253
134,533,269,0.269
135,537,290,0.29
136,541,340,0.34
137,545,366,0.366
138,549,1000,1
139,553,1000,1
140,557,1000,1
141,561,1000,1
142,565,1000,1
143,569,1000,1
144,573,1000,1
145,577,1000,1
146,581,1000,1
147,585,1000,1
148,589,1000,1
149,593,1000,1
150,597,1000,1
151,601,1000,1
152,605,1000,1
153,609,1000,1
154,613,1000,1
155,617,1000,1
156,621,1000,1
157,625,1000,1
158,629,1000,1
159,633,1000,1
160,637,1000,1
161,641,1000,1
162,645,1000,1
163,649,1000,1
164,653,1000,1
165,657,1000,1
166,661,1000,1
167,665,1000,1
168,669,1000,1
169,673,1000,1
170,677,1000,1
171,681,1000,1
172,685,1000,1
173,689,1000,1
174,693,1000,1
175,697,1000,1
176,701,1000,1
177,705,1000,1
178,709,1000,1
179,713,1000,1
180,717,1000,1
181,721,1000,1
182,725,1000,1
183,729,1000,1
184,733,1000,1
185,737,1000,1
186,741,1000,1
187,745,1000,1
188,749,1000,1
189,753,1000,1
190,757,1000,1
191,761,1000,1
192,765,1000,1
