"","leading_edge_index","leading_edge_val","crossed_frac_7","crossed_frac_0","crossed_frac_11","crossed_frac_3","crossed_frac_15","count_7","count_0","count_11","count_3","count_15"
"294",384,17,0.9921,0.5916,0.997,0.9723,0.9987,9921,5916,9970,9723,9987
"295",392,12,0.0047,0.0057,0.0063,0.0057,0.0058,47,57,63,57,58
"296",392,13,0.024,0.0207,0.0236,0.0273,0.0252,240,207,236,273,252
"297",392,14,0.1092,0.0807,0.1121,0.115,0.1125,1092,807,1121,1150,1125
"298",392,15,0.3743,0.2603,0.3783,0.3683,0.3792,3743,2603,3783,3683,3792
"299",392,16,0.8158,0.5168,0.8274,0.779,0.8519,8158,5168,8274,7790,8519
"300",392,17,0.9938,0.5869,0.9973,0.9727,0.999,9938,5869,9973,9727,9990
"301",400,12,0.0049,0.0055,0.0038,0.0048,0.0052,49,55,38,48,52
"302",400,13,0.0207,0.0164,0.0231,0.0223,0.0206,207,164,231,223,206
"303",400,14,0.0985,0.0731,0.1049,0.1018,0.0981,985,731,1049,1018,981
"304",400,15,0.3523,0.2401,0.3613,0.3414,0.3621,3523,2401,3613,3414,3621
"305",400,16,0.8005,0.506,0.8233,0.7827,0.837,8005,5060,8233,7827,8370
"306",400,17,0.9922,0.5785,0.9966,0.9717,0.9987,9922,5785,9966,9717,9987
"307",408,12,0.0046,0.0049,0.004,0.0047,0.0045,46,49,40,47,45
"308",408,13,0.0171,0.0127,0.0166,0.0185,0.0185,171,127,166,185,185
"309",408,14,0.0876,0.0702,0.0883,0.0907,0.0885,876,702,883,907,885
"310",408,15,0.3355,0.2265,0.3394,0.329,0.3579,3355,2265,3394,3290,3579
"311",408,16,0.7899,0.4911,0.8163,0.7691,0.8312,7899,4911,8163,7691,8312
"312",408,17,0.9909,0.5883,0.9964,0.9711,0.9982,9909,5883,9964,9711,9982
"313",416,12,0.0033,0.0032,0.0027,0.0028,0.0035,33,32,27,28,35
"314",416,13,0.0156,0.0137,0.0144,0.0151,0.0164,156,137,144,151,164
"315",416,14,0.0781,0.0563,0.0766,0.0803,0.0829,781,563,766,803,829
"316",416,15,0.3128,0.2235,0.3213,0.3113,0.3283,3128,2235,3213,3113,3283
"317",416,16,0.7757,0.4798,0.8022,0.7504,0.8103,7757,4798,8022,7504,8103
"318",416,17,0.9923,0.5727,0.9955,0.9707,0.9986,9923,5727,9955,9707,9986
"319",424,12,0.0027,0.0021,0.0031,0.0029,0.0023,27,21,31,29,23
"320",424,13,0.0126,0.0108,0.0126,0.0146,0.013,126,108,126,146,130
"321",424,14,0.0661,0.0479,0.068,0.0682,0.0708,661,479,680,682,708
"322",424,15,0.2873,0.2021,0.2888,0.2782,0.3108,2873,2021,2888,2782,3108
"323",424,16,0.7664,0.4677,0.7973,0.7406,0.8011,7664,4677,7973,7406,8011
"324",424,17,0.9911,0.5718,0.9955,0.9705,0.9973,9911,5718,9955,9705,9973
"325",432,12,0.0023,0.0011,0.0015,0.0018,0.002,23,11,15,18,20
"326",432,13,0.0083,0.0092,0.0103,0.008,0.0097,83,92,103,80,97
"327",432,14,0.062,0.0453,0.0555,0.0542,0.0586,620,453,555,542,586
"328",432,15,0.2685,0.1778,0.2761,0.2587,0.2687,2685,1778,2761,2587,2687
"329",432,16,0.7496,0.4636,0.7701,0.7256,0.797,7496,4636,7701,7256,7970
"330",432,17,0.9903,0.5711,0.9956,0.965,0.9971,9903,5711,9956,9650,9971
"331",440,12,0.0013,0.0019,0.0013,0.0018,8e-04,13,19,13,18,8
"332",440,13,0.0066,0.0052,0.008,0.0076,0.0076,66,52,80,76,76
"333",440,14,0.0502,0.0356,0.0499,0.0474,0.0522,502,356,499,474,522
"334",440,15,0.24,0.168,0.2546,0.2244,0.2592,2400,1680,2546,2244,2592
"335",440,16,0.7295,0.4439,0.755,0.692,0.7905,7295,4439,7550,6920,7905
"336",440,17,0.9903,0.584,0.9945,0.9663,0.9984,9903,5840,9945,9663,9984
"337",448,12,0.0015,0.001,0.0015,8e-04,7e-04,15,10,15,8,7
"338",448,13,0.0061,0.0051,0.0049,0.0048,0.0052,61,51,49,48,52
"339",448,14,0.0345,0.0309,0.0396,0.037,0.0401,345,309,396,370,401
"340",448,15,0.2143,0.1442,0.2353,0.2055,0.2309,2143,1442,2353,2055,2309
"341",448,16,0.7041,0.4197,0.7296,0.6717,0.7595,7041,4197,7296,6717,7595
"342",448,17,0.9872,0.5716,0.9939,0.9624,0.9981,9872,5716,9939,9624,9981
"343",456,12,0.0012,7e-04,2e-04,0.0015,6e-04,12,7,2,15,6
"344",456,13,0.0028,0.0043,0.0036,0.004,0.0046,28,43,36,40,46
"345",456,14,0.0316,0.0217,0.0329,0.0331,0.0322,316,217,329,331,322
"346",456,15,0.1872,0.125,0.1952,0.1838,0.1931,1872,1250,1952,1838,1931
"347",456,16,0.6699,0.394,0.7058,0.6321,0.7275,6699,3940,7058,6321,7275
"348",456,17,0.9844,0.566,0.9947,0.9594,0.9972,9844,5660,9947,9594,9972
"349",464,12,8e-04,0.0011,8e-04,8e-04,0.0012,8,11,8,8,12
"350",464,13,0.0026,0.0025,0.0031,0.0029,0.0024,26,25,31,29,24
"351",464,14,0.0235,0.018,0.0229,0.0206,0.0227,235,180,229,206,227
"352",464,15,0.1561,0.0974,0.1619,0.1554,0.1654,1561,974,1619,1554,1654
"353",464,16,0.6336,0.3635,0.6659,0.5766,0.691,6336,3635,6659,5766,6910
"354",464,17,0.9808,0.5635,0.9927,0.9585,0.9961,9808,5635,9927,9585,9961
"355",472,12,5e-04,3e-04,0.001,6e-04,7e-04,5,3,10,6,7
"356",472,13,0.0013,0.0013,0.0023,0.0024,0.0022,13,13,23,24,22
"357",472,14,0.0163,0.0118,0.0183,0.0151,0.0169,163,118,183,151,169
"358",472,15,0.1296,0.0736,0.1243,0.1216,0.1396,1296,736,1243,1216,1396
"359",472,16,0.5719,0.3083,0.6175,0.5123,0.6591,5719,3083,6175,5123,6591
"360",472,17,0.9827,0.5591,0.9927,0.9519,0.9974,9827,5591,9927,9519,9974
"361",480,12,3e-04,3e-04,7e-04,4e-04,7e-04,3,3,7,4,7
"362",480,13,0.0016,0.001,0.0012,0.0013,0.0013,16,10,12,13,13
"363",480,14,0.0094,0.0064,0.0111,0.0109,0.0117,94,64,111,109,117
"364",480,15,0.0934,0.0544,0.1025,0.0807,0.1105,934,544,1025,807,1105
"365",480,16,0.4999,0.2442,0.5508,0.4282,0.5848,4999,2442,5508,4282,5848
"366",480,17,0.976,0.5421,0.9898,0.9408,0.9947,9760,5421,9898,9408,9947
"367",488,12,6e-04,7e-04,3e-04,3e-04,6e-04,6,7,3,3,6
"368",488,13,0.0014,9e-04,0.0012,6e-04,0.0011,14,9,12,6,11
"369",488,14,0.007,0.0047,0.0059,0.0056,0.0073,70,47,59,56,73
"370",488,15,0.0644,0.032,0.0724,0.0494,0.0798,644,320,724,494,798
"371",488,16,0.4001,0.1822,0.4577,0.3233,0.5115,4001,1822,4577,3233,5115
"372",488,17,0.9661,0.5283,0.9871,0.9204,0.9946,9661,5283,9871,9204,9946
"373",496,12,4e-04,4e-04,7e-04,3e-04,3e-04,4,4,7,3,3
"374",496,13,8e-04,8e-04,4e-04,7e-04,0.0011,8,8,4,7,11
"375",496,14,0.0027,0.002,0.0034,0.0032,0.0039,27,20,34,32,39
"376",496,15,0.0307,0.0106,0.0408,0.0247,0.0554,307,106,408,247,554
"377",496,16,0.2652,0.096,0.3402,0.196,0.4079,2652,960,3402,1960,4079
"378",496,17,0.9369,0.4357,0.9763,0.8364,0.9907,9369,4357,9763,8364,9907
"379",504,12,5e-04,3e-04,5e-04,5e-04,2e-04,5,3,5,5,2
"380",504,13,3e-04,2e-04,7e-04,5e-04,0.0012,3,2,7,5,12
"381",504,14,0.0022,0.0011,0.0017,9e-04,0.0017,22,11,17,9,17
"382",504,15,0.0142,0.0025,0.0211,0.0085,0.0266,142,25,211,85,266
"383",504,16,0.1377,0.0286,0.2058,0.0748,0.2731,1377,286,2058,748,2731
"384",504,17,0.819,0.2375,0.9264,0.6022,0.9722,8190,2375,9264,6022,9722
