"","leading_edge_index","leading_edge_val","crossed_frac_7","crossed_frac_0","crossed_frac_11","crossed_frac_3","crossed_frac_15","count_7","count_0","count_11","count_3","count_15"
"45",56,14,0.393,0.3344,0.3886,0.3925,0.3865,3930,3344,3886,3925,3865
"46",56,15,0.6388,0.4964,0.6412,0.6318,0.636,6388,4964,6412,6318,6360
"47",56,16,0.9026,0.6371,0.9135,0.8903,0.919,9026,6371,9135,8903,9190
"48",56,17,0.9963,0.6388,0.9988,0.9818,0.9994,9963,6388,9988,9818,9994
"49",64,12,0.1445,0.1427,0.1453,0.1486,0.1407,1445,1427,1453,1486,1407
"50",64,13,0.2241,0.2127,0.2142,0.2207,0.2165,2241,2127,2142,2207,2165
"51",64,14,0.386,0.3299,0.3826,0.3773,0.3865,3860,3299,3826,3773,3865
"52",64,15,0.6378,0.4887,0.6371,0.6287,0.652,6378,4887,6371,6287,6520
"53",64,16,0.9031,0.6267,0.9148,0.8855,0.9198,9031,6267,9148,8855,9198
"54",64,17,0.9962,0.6452,0.998,0.9792,0.9993,9962,6452,9980,9792,9993
"55",72,12,0.1445,0.1398,0.1355,0.1383,0.1423,1445,1398,1355,1383,1423
"56",72,13,0.2143,0.199,0.2224,0.2145,0.215,2143,1990,2224,2145,2150
"57",72,14,0.3838,0.3225,0.3764,0.3891,0.3835,3838,3225,3764,3891,3835
"58",72,15,0.6432,0.4806,0.639,0.6311,0.6419,6432,4806,6390,6311,6419
"59",72,16,0.901,0.6231,0.9098,0.8872,0.9201,9010,6231,9098,8872,9201
"60",72,17,0.9959,0.6491,0.9987,0.9828,0.9992,9959,6491,9987,9828,9992
"61",80,12,0.1389,0.1394,0.1334,0.1337,0.137,1389,1394,1334,1337,1370
"62",80,13,0.2124,0.1972,0.2098,0.2113,0.2097,2124,1972,2098,2113,2097
"63",80,14,0.3744,0.324,0.3734,0.3668,0.3734,3744,3240,3734,3668,3734
"64",80,15,0.6388,0.4882,0.6358,0.6296,0.6308,6388,4882,6358,6296,6308
"65",80,16,0.9013,0.627,0.9104,0.8875,0.9166,9013,6270,9104,8875,9166
"66",80,17,0.9967,0.6483,0.9991,0.982,0.9989,9967,6483,9991,9820,9989
"67",88,12,0.1314,0.1333,0.1297,0.1298,0.1309,1314,1333,1297,1298,1309
"68",88,13,0.2004,0.1927,0.2068,0.206,0.2147,2004,1927,2068,2060,2147
"69",88,14,0.3742,0.3178,0.3783,0.3718,0.3796,3742,3178,3783,3718,3796
"70",88,15,0.6376,0.4764,0.6312,0.626,0.6321,6376,4764,6312,6260,6321
"71",88,16,0.8996,0.6258,0.907,0.8878,0.9151,8996,6258,9070,8878,9151
"72",88,17,0.9968,0.6429,0.9978,0.9811,0.9993,9968,6429,9978,9811,9993
"73",96,12,0.1286,0.1243,0.1314,0.1291,0.1299,1286,1243,1314,1291,1299
"74",96,13,0.2039,0.1843,0.2046,0.1985,0.2019,2039,1843,2046,1985,2019
"75",96,14,0.3624,0.3156,0.3612,0.3645,0.3734,3624,3156,3612,3645,3734
"76",96,15,0.6258,0.4685,0.63,0.6294,0.6326,6258,4685,6300,6294,6326
