update,leading_edge_index,leading_edge_value,count_under,second_leading_edge_left_index,second_leading_edge_left_val,second_leading_edge_right_index,second_leading_edge_right_val,count_6,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19,count_20,count_21,count_22,count_23,count_24,count_over
1,7,12,0,None,None,None,None,504,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,12,6,None,None,None,None,496,1,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,12,4,None,None,None,None,493,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
4,9,12,3,None,None,None,None,492,7,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,12,3,None,None,None,None,486,12,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,12,2,None,None,None,None,486,13,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11,12,3,None,None,None,None,478,19,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
8,11,12,7,None,None,None,None,472,20,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
9,12,12,4,None,None,None,None,472,22,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
10,13,12,4,None,None,None,None,466,25,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
11,14,12,3,None,None,None,None,471,20,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
12,15,12,5,None,None,None,None,464,24,3,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
13,16,12,4,None,None,None,None,460,29,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
14,17,12,7,None,None,None,None,460,25,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
15,18,12,6,None,None,None,None,460,25,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
16,19,12,4,None,None,None,None,456,30,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
17,20,12,6,None,None,None,None,454,30,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
18,21,12,5,None,None,None,None,451,35,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
19,22,12,5,None,None,None,None,440,44,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
20,22,12,4,None,None,None,None,446,39,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
21,23,12,3,None,None,None,None,440,45,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
22,24,12,3,None,None,None,None,441,42,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
23,25,12,4,None,None,None,None,438,44,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
24,26,12,3,None,None,None,None,436,46,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0
25,27,12,4,None,None,None,None,433,47,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
26,27,12,3,None,None,None,None,443,38,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
27,28,13,3,None,None,None,None,438,42,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0
28,29,13,3,None,None,None,None,433,46,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0
29,30,13,0,None,None,None,None,430,51,0,0,0,0,29,2,0,0,0,0,0,0,0,0,0,0,0,0
30,31,12,3,None,None,None,None,428,49,0,0,0,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0
