"leading_edge_index","leading_edge_val","slurm_array_task_id","count","crossed_frac"
288,14,165,2147,0.2147
288,15,229,8133,0.8133
288,16,293,9999,0.9999
288,17,357,10000,1
296,12,38,84,0.0084
296,13,102,345,0.0345
296,14,166,2115,0.2115
296,15,230,8196,0.8196
296,16,294,9997,0.9997
296,17,358,10000,1
304,12,39,76,0.0076
304,13,103,349,0.0349
304,14,167,2188,0.2188
304,15,231,8199,0.8199
304,16,295,10000,1
304,17,359,10000,1
312,12,40,75,0.0075
312,13,104,351,0.0351
312,14,168,2202,0.2202
312,15,232,8152,0.8152
312,16,296,10000,1
312,17,360,10000,1
320,12,41,73,0.0073
320,13,105,343,0.0343
320,14,169,2200,0.22
320,15,233,8143,0.8143
320,16,297,10000,1
320,17,361,10000,1
328,12,42,73,0.0073
328,13,106,383,0.0383
328,14,170,2175,0.2175
328,15,234,8194,0.8194
328,16,298,9999,0.9999
328,17,362,10000,1
336,12,43,69,0.0069
336,13,107,365,0.0365
336,14,171,2208,0.2208
336,15,235,8159,0.8159
336,16,299,10000,1
336,17,363,10000,1
344,12,44,86,0.0086
344,13,108,393,0.0393
344,14,172,2182,0.2182
344,15,236,8207,0.8207
344,16,300,9999,0.9999
344,17,364,10000,1
352,12,45,71,0.0071
352,13,109,353,0.0353
352,14,173,2224,0.2224
352,15,237,8136,0.8136
352,16,301,10000,1
352,17,365,10000,1
360,12,46,76,0.0076
360,13,110,344,0.0344
360,14,174,2171,0.2171
360,15,238,8190,0.819
360,16,302,10000,1
360,17,366,10000,1
368,12,47,78,0.0078
368,13,111,345,0.0345
368,14,175,2176,0.2176
368,15,239,8233,0.8233
368,16,303,10000,1
368,17,367,10000,1
376,12,48,66,0.0066
376,13,112,386,0.0386
376,14,176,2183,0.2183
376,15,240,8196,0.8196
376,16,304,10000,1
376,17,368,10000,1
384,12,49,57,0.0057
384,13,113,359,0.0359
384,14,177,2216,0.2216
384,15,241,8178,0.8178
384,16,305,10000,1
384,17,369,10000,1
392,12,50,60,0.006
392,13,114,364,0.0364
392,14,178,2151,0.2151
392,15,242,8172,0.8172
392,16,306,9999,0.9999
392,17,370,10000,1
400,12,51,86,0.0086
400,13,115,328,0.0328
400,14,179,2219,0.2219
400,15,243,8297,0.8297
400,16,307,10000,1
400,17,371,10000,1
408,12,52,72,0.0072
408,13,116,344,0.0344
408,14,180,2139,0.2139
408,15,244,8149,0.8149
408,16,308,9999,0.9999
408,17,372,10000,1
416,12,53,86,0.0086
416,13,117,380,0.038
416,14,181,2166,0.2166
416,15,245,8208,0.8208
416,16,309,10000,1
416,17,373,10000,1
424,12,54,82,0.0082
424,13,118,355,0.0355
424,14,182,2146,0.2146
424,15,246,8203,0.8203
424,16,310,9999,0.9999
424,17,374,10000,1
432,12,55,87,0.0087
