"leading_edge_index","leading_edge_val","count","crossed_frac"
0,12,1740,0.174
0,13,2515,0.2515
0,14,4085,0.4085
0,15,6437,0.6437
0,16,8820,0.882
0,17,9430,0.943
8,12,1772,0.1772
8,13,2524,0.2524
8,14,4078,0.4078
8,15,6607,0.6607
8,16,9204,0.9204
8,17,9972,0.9972
16,12,1701,0.1701
16,13,2416,0.2416
16,14,4106,0.4106
16,15,6565,0.6565
16,16,9094,0.9094
16,17,9968,0.9968
24,12,1740,0.174
24,13,2395,0.2395
24,14,3986,0.3986
24,15,6530,0.653
24,16,9098,0.9098
24,17,9962,0.9962
32,12,1608,0.1608
32,13,2420,0.242
32,14,4003,0.4003
32,15,6508,0.6508
32,16,9045,0.9045
32,17,9958,0.9958
40,12,1596,0.1596
40,13,2374,0.2374
40,14,3929,0.3929
40,15,6365,0.6365
40,16,9056,0.9056
40,17,9968,0.9968
48,12,1548,0.1548
48,13,2214,0.2214
48,14,3959,0.3959
48,15,6418,0.6418
48,16,9044,0.9044
48,17,9972,0.9972
56,12,1466,0.1466
56,13,2257,0.2257
56,14,3897,0.3897
56,15,6469,0.6469
56,16,9026,0.9026
56,17,9961,0.9961
64,12,1407,0.1407
64,13,2206,0.2206
64,14,3773,0.3773
64,15,6428,0.6428
64,16,9066,0.9066
64,17,9962,0.9962
72,12,1383,0.1383
72,13,2166,0.2166
72,14,3818,0.3818
72,15,6377,0.6377
72,16,9031,0.9031
72,17,9966,0.9966
80,12,1300,0.13
80,13,2067,0.2067
80,14,3745,0.3745
80,15,6364,0.6364
80,16,8983,0.8983
80,17,9963,0.9963
88,12,1263,0.1263
88,13,2068,0.2068
88,14,3676,0.3676
88,15,6322,0.6322
88,16,8989,0.8989
88,17,9966,0.9966
96,12,1236,0.1236
96,13,2029,0.2029
96,14,3632,0.3632
96,15,6258,0.6258
96,16,8984,0.8984
96,17,9968,0.9968
104,12,1201,0.1201
104,13,2014,0.2014
104,14,3655,0.3655
104,15,6214,0.6214
104,16,8957,0.8957
104,17,9963,0.9963
112,12,1122,0.1122
112,13,1907,0.1907
112,14,3522,0.3522
112,15,6232,0.6232
112,16,8984,0.8984
112,17,9953,0.9953
120,12,1084,0.1084
120,13,1859,0.1859
120,14,3575,0.3575
120,15,6179,0.6179
120,16,8979,0.8979
120,17,9956,0.9956
128,12,1131,0.1131
128,13,1872,0.1872
128,14,3532,0.3532
128,15,6082,0.6082
128,16,8993,0.8993
128,17,9965,0.9965
136,12,1118,0.1118
136,13,1849,0.1849
136,14,3471,0.3471
136,15,6121,0.6121
136,16,8960,0.896
136,17,9973,0.9973
144,12,1017,0.1017
144,13,1754,0.1754
144,14,3438,0.3438
144,15,6063,0.6063
144,16,9007,0.9007
144,17,9946,0.9946
152,12,962,0.0962
152,13,1660,0.166
152,14,3334,0.3334
152,15,6028,0.6028
152,16,8926,0.8926
152,17,9961,0.9961
160,12,938,0.0938
160,13,1578,0.1578
160,14,3238,0.3238
160,15,6014,0.6014
160,16,8932,0.8932
160,17,9960,0.996
168,12,881,0.0881
168,13,1526,0.1526
168,14,3227,0.3227
168,15,5913,0.5913
168,16,8884,0.8884
168,17,9948,0.9948
176,12,850,0.085
176,13,1516,0.1516
176,14,3180,0.318
176,15,5858,0.5858
176,16,8934,0.8934
176,17,9952,0.9952
184,12,818,0.0818
184,13,1442,0.1442
184,14,3146,0.3146
184,15,5904,0.5904
184,16,8872,0.8872
184,17,9951,0.9951
192,12,725,0.0725
192,13,1435,0.1435
192,14,3069,0.3069
192,15,5802,0.5802
192,16,8821,0.8821
192,17,9950,0.995
200,12,712,0.0712
200,13,1369,0.1369
200,14,3031,0.3031
200,15,5823,0.5823
200,16,8886,0.8886
200,17,9943,0.9943
208,12,696,0.0696
208,13,1306,0.1306
208,14,2947,0.2947
208,15,5740,0.574
208,16,8858,0.8858
208,17,9963,0.9963
216,12,655,0.0655
216,13,1300,0.13
216,14,2847,0.2847
216,15,5659,0.5659
216,16,8800,0.88
216,17,9959,0.9959
224,12,606,0.0606
224,13,1235,0.1235
224,14,2800,0.28
224,15,5544,0.5544
224,16,8765,0.8765
224,17,9967,0.9967
232,12,602,0.0602
232,13,1236,0.1236
232,14,2738,0.2738
232,15,5554,0.5554
232,16,8784,0.8784
232,17,9951,0.9951
240,12,530,0.053
240,13,1144,0.1144
240,14,2696,0.2696
240,15,5527,0.5527
240,16,8775,0.8775
240,17,9946,0.9946
248,12,493,0.0493
248,13,1061,0.1061
248,14,2704,0.2704
248,15,5417,0.5417
248,16,8823,0.8823
248,17,9939,0.9939
256,12,445,0.0445
256,13,1043,0.1043
256,14,2622,0.2622
256,15,5417,0.5417
256,16,8749,0.8749
256,17,9941,0.9941
264,12,431,0.0431
264,13,1008,0.1008
264,14,2457,0.2457
264,15,5425,0.5425
264,16,8739,0.8739
264,17,9951,0.9951
272,12,432,0.0432
272,13,953,0.0953
272,14,2439,0.2439
272,15,5360,0.536
272,16,8703,0.8703
272,17,9960,0.996
280,12,330,0.033
280,13,881,0.0881
280,14,2311,0.2311
280,15,5227,0.5227
280,16,8627,0.8627
280,17,9945,0.9945
288,12,299,0.0299
288,13,813,0.0813
288,14,2199,0.2199
288,15,5119,0.5119
288,16,8688,0.8688
288,17,9949,0.9949
296,12,293,0.0293
296,13,793,0.0793
296,14,2198,0.2198
296,15,5035,0.5035
296,16,8596,0.8596
296,17,9953,0.9953
304,12,240,0.024
304,13,737,0.0737
304,14,2137,0.2137
304,15,5057,0.5057
304,16,8628,0.8628
304,17,9944,0.9944
312,12,239,0.0239
312,13,665,0.0665
312,14,2026,0.2026
312,15,4934,0.4934
312,16,8574,0.8574
312,17,9947,0.9947
320,12,228,0.0228
320,13,652,0.0652
320,14,1947,0.1947
320,15,4789,0.4789
320,16,8565,0.8565
320,17,9933,0.9933
328,12,193,0.0193
328,13,574,0.0574
328,14,1848,0.1848
328,15,4729,0.4729
328,16,8491,0.8491
328,17,9947,0.9947
336,12,144,0.0144
336,13,580,0.058
336,14,1842,0.1842
336,15,4710,0.471
336,16,8507,0.8507
336,17,9957,0.9957
344,12,138,0.0138
344,13,518,0.0518
344,14,1664,0.1664
344,15,4550,0.455
344,16,8460,0.846
344,17,9937,0.9937
352,12,123,0.0123
352,13,472,0.0472
352,14,1630,0.163
352,15,4490,0.449
352,16,8352,0.8352
352,17,9945,0.9945
360,12,100,0.01
360,13,390,0.039
360,14,1509,0.1509
360,15,4344,0.4344
360,16,8376,0.8376
360,17,9936,0.9936
368,12,106,0.0106
368,13,379,0.0379
368,14,1398,0.1398
368,15,4237,0.4237
368,16,8302,0.8302
368,17,9935,0.9935
376,12,76,0.0076
376,13,321,0.0321
376,14,1248,0.1248
376,15,4055,0.4055
376,16,8222,0.8222
376,17,9919,0.9919
384,12,86,0.0086
384,13,284,0.0284
384,14,1217,0.1217
384,15,3793,0.3793
384,16,8161,0.8161
384,17,9941,0.9941
392,12,58,0.0058
392,13,266,0.0266
392,14,1122,0.1122
392,15,3773,0.3773
392,16,8146,0.8146
392,17,9924,0.9924
400,12,39,0.0039
400,13,209,0.0209
400,14,1007,0.1007
400,15,3561,0.3561
400,16,8029,0.8029
400,17,9925,0.9925
408,12,32,0.0032
408,13,176,0.0176
408,14,877,0.0877
408,15,3318,0.3318
408,16,7964,0.7964
408,17,9932,0.9932
416,12,27,0.0027
416,13,136,0.0136
416,14,804,0.0804
416,15,3136,0.3136
416,16,7782,0.7782
416,17,9910,0.991
424,12,30,0.003
424,13,118,0.0118
424,14,662,0.0662
424,15,2920,0.292
424,16,7657,0.7657
424,17,9916,0.9916
432,12,14,0.0014
432,13,75,0.0075
432,14,560,0.056
432,15,2771,0.2771
432,16,7584,0.7584
432,17,9918,0.9918
440,12,14,0.0014
440,13,79,0.0079
440,14,534,0.0534
440,15,2405,0.2405
440,16,7250,0.725
440,17,9896,0.9896
448,12,11,0.0011
448,13,60,0.006
448,14,401,0.0401
448,15,2086,0.2086
448,16,7011,0.7011
448,17,9877,0.9877
456,12,7,7e-04
456,13,40,0.004
456,14,291,0.0291
456,15,1863,0.1863
456,16,6664,0.6664
456,17,9860,0.986
464,12,7,7e-04
464,13,28,0.0028
464,14,217,0.0217
464,15,1594,0.1594
464,16,6222,0.6222
464,17,9851,0.9851
472,12,5,5e-04
472,13,22,0.0022
472,14,164,0.0164
472,15,1259,0.1259
472,16,5683,0.5683
472,17,9831,0.9831
480,12,4,4e-04
480,13,15,0.0015
480,14,92,0.0092
480,15,919,0.0919
480,16,4932,0.4932
480,17,9783,0.9783
488,12,3,3e-04
488,13,5,5e-04
488,14,84,0.0084
488,15,604,0.0604
488,16,3920,0.392
488,17,9675,0.9675
496,12,2,2e-04
496,13,4,4e-04
496,14,33,0.0033
496,15,335,0.0335
496,16,2724,0.2724
496,17,9398,0.9398
504,12,6,6e-04
504,13,1,1e-04
504,14,21,0.0021
504,15,132,0.0132
504,16,1377,0.1377
504,17,8124,0.8124
